Entry	Description	ANCeC1	ANCeC2	ANCeC3	ANCeC4	ANCeC5	ANCeC6	ANCeC7	HBCeC1	HBCeC2	HBCeC3	HBCeC4	HBCeC5	HBCeC6	HNCeC10	HNCeC11	HNCeC12	HNCeC13	HNCeC14	HNCeC15	HNCeC16	HNCeC17	HNCeC18	HNCeC4	HNCeC5	HNCeC6	HNCeC7	HNCeC8	JSCeC1	JSCeC2	JSCeC3	JSCeC4	JSCeC5	JSCeC6	MD70dCeC1	MD70d_CeC1	MD70dCeC2	MD70d_CeC2	MD70dCeC3	MD70d_CeC3	MD70dCeC4	MD70d_CeC4	MD70dCeC5	MD70d_CeC5	MD70dCeC6	MD70d_CeC6	MD70d_CeC7	MD70d_CeC8	PD70dCeC1	PD70d_CeC1	PD70dCeC2	PD70d_CeC2	PD70dCeC3	PD70d_CeC3	PD70dCeC4	PD70d_CeC4	PD70dCeC5	PD70d_CeC5	PD70dCeC6	PD70d_CeC6	PD70d_CeC7	PD70d_CeC8	SDCeC1	SDCeC2	SDCeC3	SDCeC4	SDCeC5	SDCeC6	SHCeC1	SHCeC12	SHCeC15	SHCeC16	SHCeC17	SHCeC18	SHCeC24	SHCeC26	SHCeC27	SHCeC28	SHCeC4	SHCeC7	SXCeC1	SXCeC2	SXCeC3	SXCeC4	SXCeC5	SXCeC6	WNCeC1L	WNCeC2L	WNFCeC1L	WNFCeC2L	WNFCeC3L	WNFCeC4L	CeC1	CeC105	CeC108	CeC112	CeC113	CeC123	CeC124	CeC139	CeC149	CeC161	CeC164	CeC166	CeC186	CeC192	CeC198	CeC200	CeC28	CeC35	CeC38	CeC41	CeC42	CeC51	CeC6	CeC61	CeC66	CeC67	CeC68	CeC69	CeC70	CeC89	FJCeC1	FJCeC2	FJCeC3	FJCeC4	FJCeC5	FJCeC6	GZCeC-10	GZCeC-24	GZCeC-25	GZCeC-26	GZCeC-27	GZCeC-28	GZCeC-29	GZCeC-30	GZCeC-6	GZCeC-7	GZCeC-8	GZCeC-9	HEBCeC-10	HEBCeC-15	HEBCeC-17	HEBCeC-18	HEBCeC-21	HEBCeC-22	HEBCeC-25	HEBCeC-30	HEBCeC-4	HEBCeC-5	HEBCeC-7	HEBCeC-8	SDQCeC10L	SDQCeC11L	SDQCeC1L	SDQCeC1R	SDQCeC2L	SDQCeC3L	SDQCeC4L	SDQCeC4R	SDQCeC5L	SDQCeC7R	SDQCeC8L	SDQCeC8R	SDQCeC9L	SDQCeC9R	SSCeC-1	SSCeC-10	SSCeC-2	SSCeC-3	SSCeC-4	SSCeC-5	SSCeC-6	SSCeC-7	SSCeC-8	SSCeC-9	WFHCeC11L	WFHCeC12L	WFHCeC13L	WFHCeC14L	WFHCeC16L	WFHCeC1L	WFHCeC21L	WFHCeC22L	WFHCeC23L	WFHCeC24L	WFHCeC25L	WFHCeC2L	WFHCeC3L	WFHCeC4L	WFHCeC6L	WHYCeC1L	WHYCeC1R	WHYCeC2L	WHYCeC2R	WHYCeC3L	WHYCeC3R	WHYCeC4L	WHYCeC4R	WHYCeC5L	WHYCeC5R	WHYCeC6L	WHYCeC6R	WHYCeC7L	WHYCeC7R	WHYCeC8
K11085	msbA; ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]	157.092562	190.262026	218.694923	173.139228	190.400841	190.369364	162.780575	91.371303	131.692698	121.259775	131.264655	149.372157	141.958363	123.440551	109.911114	262.338674	248.11226	199.914702	130.114088	127.627034	121.936497	113.074136	248.935285	237.179397	248.784413	141.868566	138.742645	95.948277	76.14642	90.672942	108.133342	80.273356	95.366275	155.275952	125.206108	155.035611	131.703328	144.18491	113.69876	169.120319	146.335306	157.146163	128.972656	140.743643	140.442473	116.917789	140.134864	133.427398	134.078064	137.244057	140.224869	171.295633	160.681918	171.707882	148.624634	142.512496	132.781271	136.065434	144.864859	166.487606	150.482356	125.088383	144.537232	138.612274	156.897744	135.389329	159.227553	105.137581	129.99995	90.266896	108.447928	105.546517	61.45569	83.222565	77.853022	114.19826	106.090776	119.743011	111.93734	115.033098	112.821077	115.63903	112.304976	116.199794	111.789886	209.618923	188.746614	205.826726	249.743819	220.651352	314.618919	170.081584	139.170266	131.786911	196.431235	184.445224	147.748773	108.862083	181.620077	181.47287	164.942458	135.98112	194.26095	208.870328	180.263376	186.603484	172.182221	183.125917	175.051257	153.23887	143.822132	180.683696	177.204549	158.83329	179.927805	239.878226	174.984725	171.02502	144.927559	201.617804	143.013072	180.950698	203.912299	194.10072	223.938349	159.229402	203.85632	266.722553	188.92658	65.058459	226.183268	302.164378	233.948339	339.158143	302.142326	286.141983	261.508045	148.057152	110.530261	219.616253	185.814424	259.8943	244.671877	276.365646	178.177134	261.989318	249.73282	143.127695	186.065376	139.535727	215.122799	236.818669	227.807758	147.053221	218.704907	206.000804	162.170665	156.213968	208.889047	131.758001	108.000444	167.481376	235.519745	172.844355	241.690282	250.490752	175.332383	193.72655	299.112376	298.626523	213.634421	212.208499	178.717553	245.418379	147.133088	221.137961	220.064079	196.559813	171.256843	169.561379	232.469222	217.213967	191.19754	225.936751	173.915227	221.750709	179.378463	200.979815	239.01674	225.918534	282.131245	233.656039	264.214678	234.099546	221.098209	274.551474	301.336481	329.608313	269.71338	301.750675	281.223953	277.243724	247.012204	227.196211	270.786146
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	23.908399	55.820349	46.33254	20.645799	38.275229	49.961112	53.298966	31.183321	36.549172	33.076133	33.799386	52.053336	41.362207	34.270171	27.830131	16.506694	32.81613	21.648432	34.451607	24.949661	55.596162	35.426341	25.05471	23.708476	13.644296	43.290702	59.668948	46.792126	30.754166	42.317581	45.319659	33.482307	43.857322	22.12968	33.018226	18.825337	25.373034	29.343047	46.38504	13.838882	21.485174	21.16165	31.84902	30.134861	28.872098	56.756675	24.696808	32.60902	36.512834	19.038777	25.140611	27.070219	33.002418	25.836654	41.283979	21.562736	39.507066	32.439208	24.645326	31.68624	36.214591	37.79893	49.377511	38.130922	75.37372	49.041409	44.500774	44.731207	47.916093	39.486675	48.621477	35.870213	48.68433	41.67701	36.359915	42.804212	33.943807	35.824608	47.461811	75.778552	37.915095	56.751494	30.801883	58.427581	37.602023	9.508811	16.084487	14.51903	27.974776	150.955885	23.794806	43.759231	45.278623	75.947288	44.119197	60.640886	57.428329	13.976898	64.222992	83.362381	46.56033	36.871341	40.011841	33.541256	39.943889	25.376644	52.438594	54.40988	48.398156	70.513566	62.088935	51.880186	85.088611	71.088589	43.460705	25.915124	53.375269	47.481309	43.793132	30.092437	67.657273	28.011021	27.370456	19.816635	54.086171	59.159777	58.040252	26.170053	5.563403	7.765907	7.946553	0	59.611763	0	12.932738	18.795601	20.940368	19.611565	51.465604	33.727411	12.706906	7.218566	11.164659	7.980525	19.860193	8.763941	7.02153	59.387319	19.766015	15.623368	27.430862	23.592673	24.497525	47.290159	37.421132	45.371646	34.048304	22.190956	22.280776	16.938267	21.016819	82.429327	30.862886	79.423366	41.234802	30.695568	20.05871	21.320725	59.124912	86.090392	25.955573	9.242878	26.396568	29.870081	18.746414	64.836335	45.137583	37.81495	19.902325	39.429732	58.3043	68.80754	52.209211	97.720401	15.545826	23.191984	32.190779	38.831662	60.283509	59.090291	34.036575	60.803661	22.429342	38.995722	18.486825	65.71255	22.384016	196.47948	29.875057	53.326782	44.244558	63.668266	24.238137	78.368939	10.872493
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	234.905466	233.259976	229.574674	240.410124	219.873901	196.225775	230.200967	296.573966	260.543576	272.661588	251.254993	205.611715	230.282668	302.539663	266.13878	256.739189	229.333237	308.751286	272.498536	283.606057	275.650622	284.233038	262.347892	215.277685	190.017813	260.038439	247.003744	274.64183	291.216376	304.424216	288.771797	297.311372	278.760193	228.85128	228.773863	233.764854	224.957821	246.212518	234.706682	260.125397	251.618094	231.339826	227.419916	232.66305	229.111083	217.092933	250.423013	219.26873	193.683471	216.915277	201.243813	192.794479	175.364487	194.949176	182.219731	208.70869	202.343446	203.681604	195.562913	178.688302	189.586118	232.718925	241.350558	227.554579	202.616081	199.281651	215.992431	263.707486	252.993969	271.452284	286.64525	287.388004	274.239618	248.071316	297.684239	263.813483	269.11021	284.350885	277.113956	212.40238	233.453249	252.191146	291.878391	250.506641	265.608534	228.797726	222.848231	216.484656	232.179761	183.230132	189.521055	294.177658	309.097817	209.567054	242.888278	239.300772	292.468749	177.984762	201.126512	215.305478	282.459893	263.09876	228.880554	201.149146	229.15924	236.353681	243.881184	216.443413	222.008614	258.11967	205.216643	271.849656	262.976088	284.016642	241.777954	200.01528	286.668234	233.241322	240.581517	222.65573	256.640923	223.854203	254.846178	244.746739	252.737811	248.976289	254.037294	237.355825	306.861592	60.335045	242.508126	113.024355	128.811923	150.488775	294.242088	180.318584	246.904088	227.056441	105.774352	314.343958	296.467094	190.811232	205.647123	245.168969	238.05787	228.370017	236.072835	317.785234	310.312231	399.840249	361.628527	267.720977	218.968429	259.396589	206.432769	250.942537	239.074243	256.955326	207.717146	395.728121	379.313881	257.664504	260.618404	254.705589	199.544201	250.290867	234.624614	288.443879	265.11906	227.324034	276.500319	305.796219	252.386017	244.339235	229.247	217.556364	249.210495	218.192271	255.016304	252.584799	211.166748	219.04345	230.593214	245.234355	247.525922	230.439009	233.112365	274.424501	248.577616	240.30736	227.260333	256.303162	224.272871	228.177117	293.616832	241.376709	267.397919	176.893053	328.293209	276.530536	257.230768	243.72026	199.16668	214.822644	248.560457
K00232	E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]	0	0	0	0.01035	0	0	0	0	0	0	0	0	0	0.04892	0.044497	0.013414	0	0	0	0.029697	0.017437	0	0	0	0	0.053071	0.602588	0	0	0	0.029679	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042402	0	0	0.07249	0.192442	0.098209	0.071317	0.054689	0	0.140872	0	0.076779	0	0.101438	0.180539	0.182746	0.162512	0.201703	0	0.049731	0	0.059576	0	0.02866	0.013546	0.034755	0.040956	0	0.05079	0.2204	0.014832	0.06174	0.066219	0	0.100406	0.025687	0.032605	0.040693	0.069678	0	0	0	0	0	0	0	0	0.090412	0	0.324825	0	0	0	0	0.490339	0	0	0	0	0	0	0	0	0	0	0.333712	0.369603	0	0	0	0	0	0	0	0	0	0	0	0.035247	0	0	0.065157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377034	0.021608	0.108636	0	0.728051	0	0	0.460704	0.083282	0	0	0	0.104535	0.017128	0	0	0.006463	0	0	0	0.395767	0.046441	0.036502	0	0	0.192291	0.097062	0	0.191504	0	0	0	0	0.107519	0.016904	0	0	0	0	0.148423	0	0.034694	0	0.01844	0	0	0.017251	0	0.636172	0.082291	1.170416	3.083042	7.174073	0.501297	1.294141	1.112722	0.786856	0.165005	0.215504	0.323631	1.426073	0.446247	0.351239	0
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	0	0.049033	0	0	0.127955	0.16491	0.01033	81.40436	8.834101	20.300021	19.954568	15.869629	17.966621	0.033305	0.104022	0	0	0.030019	0.004685	0	0.010117	0	0	0	0.00855	0.00508	1.810778	0.781334	0.280521	0.081182	0.081634	0.266613	0.412327	2.661917	2.480751	0.444636	0.840356	0.67762	2.041758	9.730718	6.976924	2.494275	2.347023	1.481142	0.737519	2.338691	9.95644	0.879949	1.137119	1.248377	1.326996	1.183849	1.060552	1.034632	3.025767	1.292277	1.431355	3.091348	0.963581	0.896145	3.270932	2.675384	0.091419	2.221022	0	0.088663	0	0.017229	0.01556	0.035685	0.094473	0.020974	0.027315	0.102234	0.011656	0.067544	0.075103	0	0.07329	0.040373	1.012677	0.050568	0.103843	0.24997	0.128717	0	0	0.191326	130.507725	0.045984	0.014772	1.24044	0.253208	0	0	0	0	0	0.127699	0.080292	0	0	0	0.167574	0.015323	0	0.112263	0.828525	0.198344	1.766533	0	2.126859	0	0.288688	0.686746	1.002553	0.366845	0.574107	0	0	0.21307	0	0.006108	0	0.330218	0.108182	0.080079	0	0	0	0	0	1.916742	0	0.44741	0	0	0	0.555691	0	0	0.299328	0.007295	0.151008	0	0.536031	0	0.04996	0.622183	2.061383	0.075044	0	0	0.140701	0.064317	0.281755	0.119735	0.046682	0.216418	0.325603	0.158085	0.310614	0.156282	0.089266	0.158251	0.069115	0.277082	0.065587	0.083254	0.30691	0.239739	0.150947	0.051222	0	0.089011	0.037457	0	0	0.032697	0	0.075415	0	0	0.03227	0.012842	0.246286	0.034615	0	0.021635	0.127238	0.118013	0.814209	2.500799	5.793842	0.388448	1.016278	1.058245	0.572102	0.334873	1.380207	0.393434	0.996786	0.433787	0.96343	4.04772
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	185.362195	182.985225	220.159876	202.319914	219.3668	184.732602	167.746442	245.038531	200.757841	205.816457	247.532767	244.142982	242.385737	161.779923	147.728704	383.834938	370.200952	326.705731	205.075181	191.490365	183.480702	151.736972	393.561434	358.581029	313.909959	219.232155	243.20689	106.980232	68.002465	95.782493	113.808385	78.433285	102.637966	220.339615	142.770737	211.393345	154.549309	165.795334	112.266907	209.872139	157.456884	219.40708	146.72662	176.919014	152.657448	109.886025	154.304705	193.382358	147.047872	191.134358	151.505511	212.716614	173.835299	216.091103	167.057326	189.653122	154.946382	212.368296	155.54443	171.503453	168.592091	147.526685	167.156764	153.232168	172.784547	183.098646	186.673694	142.003225	137.456175	129.625236	132.511035	140.70463	81.671706	130.59905	101.314116	144.088326	152.386805	152.043743	177.001693	110.671436	99.434555	112.054763	117.241971	122.488717	111.163429	410.079268	227.027426	393.432113	469.910384	437.029537	416.383439	191.02549	200.253371	165.686778	295.541093	240.847325	190.579924	346.310134	203.822493	250.560194	172.338896	229.302471	234.56651	260.067149	245.725596	341.494263	195.660955	283.265682	260.731797	167.076917	253.988949	258.232735	242.841564	242.691696	222.73226	333.499328	215.389405	225.13538	215.200569	263.142936	218.64128	222.576219	259.342111	222.517748	267.626004	191.25438	238.600767	366.703199	481.816386	100.740523	399.569003	249.784263	335.049961	275.541841	472.967096	382.683241	451.503996	239.147832	142.571117	466.558724	360.247617	409.240675	326.633364	409.795632	433.636936	364.988679	446.192063	379.305024	469.84769	260.337584	368.931599	315.946411	289.808754	201.600825	266.335964	324.29371	273.697655	207.29074	255.241699	189.770923	171.794023	306.211639	303.827129	275.46987	298.244693	358.222867	315.981031	336.246333	480.127213	468.369579	359.13624	359.663308	320.160272	434.038335	291.846978	289.906148	283.428191	253.708629	244.833493	201.236286	290.260019	262.958305	227.694485	265.973943	179.52983	249.676411	221.852005	243.88663	286.151081	269.255158	459.193774	298.769055	434.381301	316.045506	357.684669	340.188722	506.106118	358.056906	493.43554	384.353218	502.375689	355.448098	426.938956	316.702588	393.129288
K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	175.933235	176.947357	210.719259	185.986861	204.655342	181.842011	169.825477	207.580709	174.827662	177.948112	191.050455	203.378802	209.017132	167.721747	163.037577	354.352432	343.160809	249.290413	207.218401	193.343667	175.961358	154.734848	351.876698	358.212029	311.695404	210.211495	237.203261	101.129964	71.826118	89.945149	112.44345	74.662087	89.162886	191.106	134.774136	184.767671	149.870325	162.208126	133.890692	180.81067	143.159383	189.53667	134.645581	160.609364	142.175785	125.074378	142.863032	163.467678	140.406988	163.785277	148.329693	191.932533	156.065224	193.220239	145.896079	171.719458	135.685175	175.287562	144.204466	161.738901	155.263119	146.054887	167.963672	154.897323	178.398505	160.919738	172.699176	126.860195	132.676496	114.906422	127.611782	147.362624	81.302656	115.72096	105.98896	133.494119	146.287973	140.951559	157.850497	114.69276	115.035614	109.597786	126.100689	124.08197	120.337499	357.541518	254.335703	344.191817	288.396733	383.720592	375.974413	171.139045	149.625388	135.739197	215.721317	213.4291	129.229669	253.096227	169.699425	215.321208	152.349992	196.130555	204.229777	217.674167	218.401692	274.673041	169.343326	252.20094	228.790964	149.366449	213.463598	207.841931	204.06519	196.790332	164.120132	275.797308	173.958915	180.990657	155.524565	197.269964	188.263514	236.702673	266.852317	240.84726	265.722837	201.500863	223.493236	320.529042	326.202836	64.698245	374.077792	356.319973	280.522634	341.711255	370.287627	352.050353	273.269373	211.716996	143.133354	312.222382	295.125458	344.254482	294.775276	351.987765	311.440542	326.272347	380.087973	224.020769	292.78019	195.893229	290.548911	315.863197	295.600201	206.798032	261.656403	307.09597	267.741361	213.864395	264.44027	160.238996	138.838812	293.518113	306.815899	256.318809	308.736554	330.360757	289.560382	317.636554	436.644454	426.999445	334.818494	317.590754	291.558554	403.880558	253.762076	275.133108	268.279363	251.309231	250.574498	194.181723	289.073183	259.687587	225.655646	257.818559	193.343637	256.251171	235.739338	238.853624	288.365879	260.927966	430.824381	286.401914	399.064726	317.312913	338.588704	329.17662	469.289531	338.46119	453.872822	378.844242	464.813194	346.16357	395.451515	295.387323	272.952033
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	165.149597	149.867782	184.270276	162.040857	187.474774	150.429104	146.909068	200.389375	133.705858	147.734594	176.609159	185.903058	190.134603	153.897687	144.697586	300.615753	322.691867	187.27949	184.94562	173.177263	155.170136	137.739789	330.27173	318.741361	286.838556	193.568806	207.528017	85.226407	59.347332	74.638813	97.510329	69.699725	79.956795	179.695852	118.190627	175.47485	141.007564	144.752217	91.874264	182.153658	125.807112	174.694951	125.233901	156.435283	121.79263	103.287779	128.4042	185.719024	133.781021	187.390005	136.623744	201.67364	150.283446	210.417875	146.187657	177.752477	135.625834	204.889087	138.856332	146.597192	144.710756	112.520723	131.345177	118.878475	139.016234	135.118862	152.16542	111.531284	125.942555	80.120003	118.469607	125.783305	77.864421	117.350324	100.317166	126.308019	143.942382	106.566456	121.479376	100.457131	103.800461	87.172388	105.218482	114.066013	99.049715	320.655362	182.276664	282.522508	184.223055	309.203642	306.213393	141.521843	125.44779	134.194942	156.080771	173.811162	130.807616	271.606228	180.56502	179.802207	138.883025	164.098951	179.663795	191.020504	184.413733	202.619011	162.092356	211.748001	205.587592	143.846129	184.428467	164.03409	179.616088	170.678807	163.194115	237.956302	163.615102	184.084588	142.645812	173.676339	146.127613	196.488652	233.817911	206.439355	229.024427	172.216078	198.107354	255.737846	250.665128	43.65512	306.906926	363.215489	244.243751	228.026517	255.955515	309.718741	268.802429	150.441212	81.856017	221.385101	191.403612	302.861699	251.838019	335.409847	240.443354	290.247993	285.585569	145.028507	202.633334	161.422222	247.682504	244.612881	209.260345	190.835555	227.5467	236.884917	216.932051	198.859128	227.335453	150.581163	83.067493	212.194449	269.777798	215.085855	259.958734	264.227095	244.800648	251.041037	339.474766	343.252277	260.160928	233.710865	203.17096	298.008618	202.025709	249.518084	238.608495	211.442126	221.445014	170.906286	256.873285	237.033873	204.095016	221.37564	179.893296	235.107723	192.727507	214.39948	250.395853	237.092526	365.891018	258.844631	324.943011	298.210465	309.522172	313.22472	365.020378	317.731412	365.599203	341.538923	349.045798	318.934809	351.818388	277.196646	210.952088
K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit	0	0.18007	0	0	0	0.120253	0	0.423748	1.811423	1.937236	0	0	0	0.147767	0.041547	0.435774	0.26394	0.622534	0	0	0.624099	0	0.215286	4.852423	0	0	0.825324	0	0.140686	0.059423	0	0.188574	0.491844	0	0	0	0	0	0	0	0	0	0.119631	0	0	0	0	0.233001	0	0.199438	0.186802	0.051534	0	0.10008	0	0.110456	0.089379	0.261038	0.320082	0	0.106722	3.704416	0	1.787751	0	0	0	0	0	0	0	0	0	0.051581	0	0.072074	0.233442	0.076036	0.061415	0	1.134713	0	0.103382	0.2668	0	0	0	0	80.370301	0	0.063556	0.346838	0	0.983315	0	5.959565	0	2.926433	0	0.337803	0	0.20834	0	0	0.064466	0	0	0	0	1.411177	1.481742	2.171008	0	0	1.26951	0	0.587319	0	0	0	0	0	2.18227	0	0.151562	0	0.092111	0	0	0	0.181638	0	3.631312	0	5.81399	0	0	18.645784	0	28.385375	5.213609	2.642647	0.561422	1.327451	0	0.950114	4.079474	5.701274	25.894862	23.224363	39.869394	3.871686	0	0.125827	0.473454	2.331837	0.524219	0.057605	0.245778	5.869352	8.648516	1.750769	0.879808	0.1128	0.42876	0	0.901854	1.249092	1.030407	0.477233	2.58579	0.329842	1.277753	1.755178	0.5303	0	3.482174	0.283597	4.082714	0.645665	1.112609	0.136147	0.052513	0	0.14148	0.196304	0.149905	3.912979	0.817592	0.430913	0.096269	0.996422	2.028023	4.381749	0.531555	1.896032	1.063797	0.308758	0.811607	2.328276	0.443172	1.137573	0.456261	1.094843	0
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	56.443565	69.053577	86.506491	43.614315	70.860206	93.826069	71.807812	161.873753	128.158821	136.717686	101.924852	98.630916	93.51414	27.423485	27.167047	34.59436	51.766008	63.146595	30.134636	28.330205	20.540909	26.341132	22.336227	40.765477	43.645623	27.315039	43.962483	31.690553	34.745716	43.667343	49.855086	33.581823	42.242228	164.742985	135.909993	169.224257	125.992939	116.69705	110.571193	159.55892	136.253897	161.228672	133.918025	112.32091	129.219938	110.075217	142.513683	138.916214	146.141977	139.755452	152.509839	150.31196	163.059957	147.976493	166.598636	138.948854	144.418983	155.948932	153.236945	169.1142	169.213392	68.580576	62.742826	71.22962	126.702495	103.389657	120.881029	57.960962	48.909052	30.571181	31.977669	40.083063	17.629838	36.303535	31.453937	55.310526	47.327763	47.015995	62.6507	59.301244	57.816439	43.773696	48.794953	41.45336	51.897237	63.776884	120.650062	28.987946	19.362316	174.797495	118.114918	119.880575	123.727385	69.184102	88.984343	92.195586	72.202321	100.203275	70.545691	113.462655	90.092758	95.434319	85.467048	90.621612	59.456311	104.752124	72.736283	114.23383	114.142176	77.444136	88.50934	121.750261	87.435747	74.636377	106.005861	121.623675	110.998372	138.888639	94.335312	123.405691	74.766151	56.824736	58.80189	53.231199	50.116246	73.091319	60.58311	62.557454	46.914775	35.042829	58.754699	0	69.96486	110.985571	85.764996	62.488952	61.200521	84.01532	49.354238	144.317531	81.440326	82.498129	72.657105	54.001892	27.839456	76.930285	59.456969	74.376312	104.014104	77.432751	129.608609	81.063549	104.872394	35.876688	57.210785	63.231516	48.008073	42.679915	66.826157	46.02676	100.257805	71.212355	76.663191	68.548907	76.981949	82.498423	82.259968	91.241425	102.369483	161.025399	67.095773	79.833554	103.803791	75.788577	110.234408	63.431038	64.473699	45.129292	49.566343	65.106987	65.22349	71.397033	53.006569	64.530724	61.060538	44.421528	66.564748	72.991015	70.150352	77.222984	49.701751	68.484805	38.611847	39.804972	31.062644	67.717912	22.693556	167.324637	37.227496	55.084175	59.25911	69.943443	34.396034	77.876561	6.020016
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	23.908399	55.820349	46.33254	20.645799	38.275229	49.961112	53.298966	31.183321	36.549172	33.076133	33.799386	52.053336	41.362207	34.270171	27.830131	16.506694	32.81613	21.648432	34.451607	24.949661	55.596162	35.426341	25.05471	23.708476	13.644296	43.290702	59.668948	46.792126	30.754166	42.317581	45.319659	33.482307	43.857322	22.12968	33.018226	18.825337	25.373034	29.343047	46.38504	13.838882	21.485174	21.16165	31.84902	30.134861	28.872098	56.756675	24.696808	32.60902	36.512834	19.038777	25.140611	27.070219	33.002418	25.836654	41.283979	21.562736	39.507066	32.439208	24.645326	31.68624	36.214591	37.79893	49.377511	38.130922	75.37372	49.041409	44.500774	44.731207	47.916093	39.486675	48.621477	35.870213	48.68433	41.67701	36.359915	42.804212	33.943807	35.824608	47.461811	75.778552	37.915095	56.751494	30.801883	58.427581	37.602023	9.508811	16.084487	14.51903	27.974776	150.955885	23.794806	43.759231	45.278623	75.947288	44.119197	60.640886	57.428329	13.976898	64.222992	83.362381	46.56033	36.871341	40.011841	33.541256	39.943889	25.376644	52.438594	54.40988	48.398156	70.513566	62.088935	51.880186	85.088611	71.088589	43.460705	25.915124	53.375269	47.481309	43.793132	30.092437	67.657273	28.011021	27.370456	19.816635	54.086171	59.159777	58.040252	26.170053	5.563403	7.765907	7.946553	0	59.611763	0	12.932738	18.795601	20.940368	19.611565	51.465604	33.727411	12.706906	7.218566	11.164659	7.980525	19.860193	8.763941	7.02153	59.387319	19.766015	15.623368	27.430862	23.592673	24.497525	47.290159	37.421132	45.371646	34.048304	22.190956	22.280776	16.938267	21.016819	82.429327	30.862886	79.423366	41.234802	30.695568	20.05871	21.320725	59.124912	86.090392	25.955573	9.242878	26.396568	29.870081	18.746414	64.836335	45.137583	37.81495	19.902325	39.429732	58.3043	68.80754	52.209211	97.720401	15.545826	23.191984	32.190779	38.831662	60.283509	59.090291	34.036575	60.803661	22.429342	38.995722	18.486825	65.71255	22.384016	196.47948	29.875057	53.326782	44.244558	63.668266	24.238137	78.368939	10.872493
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	234.905466	233.259976	229.574674	240.410124	219.873901	196.225775	230.200967	296.573966	260.543576	272.661588	251.254993	205.611715	230.282668	302.539663	266.13878	256.739189	229.333237	308.751286	272.498536	283.606057	275.650622	284.233038	262.347892	215.277685	190.017813	260.038439	247.003744	274.64183	291.216376	304.424216	288.771797	297.311372	278.760193	228.85128	228.773863	233.764854	224.957821	246.212518	234.706682	260.125397	251.618094	231.339826	227.419916	232.66305	229.111083	217.092933	250.423013	219.26873	193.683471	216.915277	201.243813	192.794479	175.364487	194.949176	182.219731	208.70869	202.343446	203.681604	195.562913	178.688302	189.586118	232.718925	241.350558	227.554579	202.616081	199.281651	215.992431	263.707486	252.993969	271.452284	286.64525	287.388004	274.239618	248.071316	297.684239	263.813483	269.11021	284.350885	277.113956	212.40238	233.453249	252.191146	291.878391	250.506641	265.608534	228.797726	222.848231	216.484656	232.179761	183.230132	189.521055	294.177658	309.097817	209.567054	242.888278	239.300772	292.468749	177.984762	201.126512	215.305478	282.459893	263.09876	228.880554	201.149146	229.15924	236.353681	243.881184	216.443413	222.008614	258.11967	205.216643	271.849656	262.976088	284.016642	241.777954	200.01528	286.668234	233.241322	240.581517	222.65573	256.640923	223.854203	254.846178	244.746739	252.737811	248.976289	254.037294	237.355825	306.861592	60.335045	242.508126	113.024355	128.811923	150.488775	294.242088	180.318584	246.904088	227.056441	105.774352	314.343958	296.467094	190.811232	205.647123	245.168969	238.05787	228.370017	236.072835	317.785234	310.312231	399.840249	361.628527	267.720977	218.968429	259.396589	206.432769	250.942537	239.074243	256.955326	207.717146	395.728121	379.313881	257.664504	260.618404	254.705589	199.544201	250.290867	234.624614	288.443879	265.11906	227.324034	276.500319	305.796219	252.386017	244.339235	229.247	217.556364	249.210495	218.192271	255.016304	252.584799	211.166748	219.04345	230.593214	245.234355	247.525922	230.439009	233.112365	274.424501	248.577616	240.30736	227.260333	256.303162	224.272871	228.177117	293.616832	241.376709	267.397919	176.893053	328.293209	276.530536	257.230768	243.72026	199.16668	214.822644	248.560457
