category	gtdbtk.tax	phylum	class	order	family	genus	species	Group	LDA	P.VALUE	MAG.ID	category	WW	WOW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW	WOW
MAG1706	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides uniformis	WOW	3.061127386	1.54E-12	MAG1706	MAG1706	236.559386	1454.185934	111.05	178.6	170.17	233.96	262.56	217.51	632.48	272.76	183.79	150.9	305.13	319.53	454.37	443.96	237.34	155.84	276.32	297.56	120.44	324.12	184.2	354.26	224.16	121.18	267.61	125.51	187	136.87	177.57	162.57	53.72	362.57	99.46	100.06	34.89	69.71	444.59	214.46	132.58	577.79	472.63	208.42	111.29	190.41	862.21	354.54	357.05	247.13	448.43	462.01	389.65	396.91	487.11	335.8	489.77	550.34	246.43	470.82	145.07	367.58	204.69	135.48	232.02	255.48	233.5	243.08	231.34	236.6	131.5	70.06	229.9	244.06	176.54	222.77	214.07	234.87	169.07	279.4	181.6	159.18	287.11	129.45	280.87	107.29	57.15	116.54	88.29	110.11	63	104.64	80.7	76.61	65.99	80.84	123.15	167.21	174.67	161.91	194.4	317.42	202.98	281.59	197.95	324.4	220.21	379.15	150.38	151.13	144.65	289.69	206.39	284.26	171.91	117.77	139.68	213.24	215.9	233.83	188.64	156.83	149.11	901.6	410.79	500.67	1500.68	798.98	1272.99	274.45	231.63	472.12	559.68	293.41	194.9	225.2	175.94	149.71	288.78	485.63	377.25	227.33	228.36	448.03	142.03	212.25	205.98	218.63	193.15	11478.01	7906.23	1331.52	3673.31	11581.33	7888.58	1353.15	3663.91	13983.74	8910.81	1559.75	4176.79	13877.94	1590.91	1607.8	1026.19	1405.64	1312.36	1625.99	1031.91	1400.47	1304.02	2045.81	1278.37	1642.52	1612.52	1257.71	1674.35	156.42	222.93	185.25	291.27	207.41	303.71	126.03	387.35	153.52	278.41	156.53	128.49	173.72	133.45	232.61	223.75	239.72	112.35	145.63	131.85	177.73	420.89	204.78	314.01	62.18	29.19	706.08	59.19	297.06	580.37
MAG1589	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides xylanisolvens	WOW	3.020754442	3.41E-13	MAG1589	MAG1589	343.4657895	1259.118901	383.95	404.3	270.87	481.12	589.17	355.08	837.13	371.61	315.52	298.04	535.69	463.73	484.73	481.24	633.47	410.7	489.62	638.34	380.81	481.84	391.67	369.01	381.41	383.73	605.03	419.57	482.73	320.69	395.19	325.82	515.91	247.46	230.66	134.21	126.38	271.67	538.11	292.45	46.01	596.04	488.39	236.34	284.4	334.97	537.68	445.95	1074.32	230.11	358.18	315.82	684.01	412.77	389.11	265.74	366.13	438.46	307.49	272.62	254.52	309.47	201.67	192.91	219.79	296.38	198.71	232.3	221.4	293.01	104.31	88.94	145.67	235.18	162.91	326.17	323.9	374.92	347.84	463.95	339.69	351.06	381.11	273.72	367.75	260.34	118.81	143.98	143.77	179.04	170.91	186.03	199.3	181.92	124.22	336.51	274.79	299.84	235.21	186.19	211.68	450.89	308.51	398.39	323.2	314.46	328.56	410.58	236.25	595.83	358.14	440.77	393.27	359.1	266.25	187.88	460.31	427.12	462.73	640.25	551.63	405.5	329.88	1507.15	784.45	920.11	979.85	807.73	961.5	261.33	245.59	400.51	308.55	257.84	205.12	252.7	140.89	219.88	566.49	425.87	499.57	205.26	177.26	320.78	229.87	237.2	273.18	253.38	237.82	3053.95	2876.24	3821.12	7690.43	3128.44	2954.19	3931	7703.72	3457.68	2960.05	3994.61	7611.04	3438.99	4137.09	1431.4	2237.75	1400.57	2243.02	1437.59	2223.34	1392.85	2219.94	1663.54	2562.4	1526.87	1490.82	2557.91	2622.43	372.88	602.45	448.71	1079.61	549.19	550.72	292.79	428.17	268.43	262.32	243.63	316.68	239.95	258.65	355.49	339.89	358.2	322.51	311.74	374.96	260.65	601.06	547.71	526.54	245.33	399.84	314.48	209.63	254.62	516.71
MAG1731	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii	WOW	3.184020893	3.71E-12	MAG1731	MAG1731	15.16298246	1468.296044	33.54	16.22	11.06	18.49	14.75	17.65	29.82	22.04	34.45	19.34	17.24	19.31	78.03	7.22	14.52	34.13	22.8	36.18	25.42	13.83	11.81	9.2	12.66	25.91	12.62	26.59	13.87	14.88	17.36	15.01	69.16	7.86	7.97	6.14	3.98	10.22	13.43	58.49	0.78	16.32	31.51	8.46	111.29	16.72	13.28	24.93	23.5	14.98	30.46	5.44	15.29	14.18	23.47	7.25	11.01	6.89	19.3	25.75	11.34	24.07	5.71	5.38	10.93	5.83	6.95	11	10.94	5.05	2.5	2.13	6.38	5.14	5.35	7.33	10.84	6.95	9.2	9.21	7.82	9.13	11.65	15.37	10.95	5.97	5.68	4.57	4.33	7.52	10.99	9.93	9.02	10.16	4.32	38.74	31.77	9.93	5.75	4.52	5.65	10.1	4.51	8.1	5.15	14.48	7.43	7.34	2.75	5.35	4.13	7.61	5.3	10.33	3.19	2.8	6.88	9.22	8.53	8.88	8.85	5.58	6.03	1330.57	263.13	466.37	75	98.92	83.3	11.24	11.91	11.39	16.73	8.52	12.46	10.77	11.92	11.55	12.89	19.22	15.46	11.92	12.26	227.57	12.48	73.53	13.77	67.97	54.09	8501.9	2609.52	4948.73	14367.31	8628.65	2667.85	5036.78	14331.73	8720.2	2490.09	5110.77	14667.85	8760.4	5179.23	877.5	565.22	2092.52	2977.44	893.15	560.61	2093.96	2945.5	1018.07	628.32	2159.58	2087.25	630.61	3453.18	344.56	96.35	257.65	186.96	51.71	220.94	10.05	12.92	7.19	11.68	11.36	11.71	25.72	14.24	9.85	10.26	10.75	8.43	11.01	5.2	7.69	134.85	7.5	94.43	5.78	5.71	16.27	7.4	7.74	6.2
MAG2099	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides goldsteinii	WOW	3.037835877	1.70E-16	MAG2099	MAG2099	6.892982456	1033.24011	6.28	6.92	9.12	5.28	7.16	5.19	3.09	6.63	5.24	4.7	5.61	7.62	8.11	4.45	4.29	7.2	6.01	7.69	14.83	4.22	4.72	4.79	5.34	5.51	7.1	7.42	8.03	6.28	5.34	7.44	2.21	2.7	2.03	2.12	1.58	3.22	5.42	43.87	0	7.45	31.51	3.1	74.19	7.01	10.57	13.85	14.73	10.21	25.95	3.81	12.48	8.68	22.15	4.83	7.49	5.25	14.81	14.17	8.92	17.75	3.77	2.69	6.91	2.9	4.58	8.14	7.29	2.9	1.66	1.52	4.33	3.23	3.51	3.51	5.91	4.6	6.15	5.58	4.55	7.05	6.9	7.99	6.58	3.77	2.52	1.91	2.07	2.56	4.24	2.19	2.5	4.3	1.41	1.85	2.35	3.53	3.32	2.27	2.91	5.62	2.02	5.32	2.87	8.46	2.88	4.5	1.3	2.26	1.71	5.08	3.04	6.79	1.53	2.8	2.28	4.23	4.73	4.85	3.85	2.72	2.91	1092.83	203.6	387.07	61.02	99.1	76.74	8.14	8.24	6.74	10.4	6.27	8.57	6.6	7.31	6.99	7.55	6.51	10.36	7.43	7.49	168.64	7.97	53.6	10.11	48.38	39.06	5565.45	1732.44	3231.96	9508.65	5638.32	1788.52	3308.23	9540.95	6601.07	1930.27	3802.84	11085.63	6556.1	3880.58	605.94	383.1	1388.36	1971.39	612.67	389.01	1392.38	1957.81	779.69	486.66	1623.87	1615.03	485.76	2526.9	281.98	85.28	213.12	147.16	41.23	178.97	5.08	6.29	4.75	7.63	6.77	7.89	10.26	7.9	5.54	6.3	5.25	5.55	11.06	4.57	2.86	104.59	5.94	71.52	2.09	5.47	4.82	4.93	3.47	4.71
MAG819	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	s__Parabacteroides merdae	WOW	3.002327019	1.90E-17	MAG819	MAG819	49.43596491	837.0212088	62.29	75.2	69.27	96.98	107.05	44.12	43.19	80.6	44.93	46.01	67.43	112.95	42.59	104.14	74.04	87.2	99.71	92.52	90.64	40.78	57.69	58.5	40.34	107.92	65.67	118.28	79.91	75.05	53.4	58.56	24	20.06	14.65	11.08	9.32	22.38	37.76	97.48	21.06	52.63	189.05	20.87	185.48	33.17	100.23	58.17	130.12	53.78	268.49	68.42	63.84	56.36	50.32	44.93	44.98	38.62	84.69	60.71	215.67	66.37	19.07	29.61	25.29	20.84	19.36	28.91	26.85	22.08	9.15	44.78	16.85	16.55	20.9	27.31	30.08	39.75	36.36	27.62	24.44	33.78	33.82	52.43	32.07	51.9	10.43	16.52	12.96	26.62	32.2	10.77	17.29	22.58	7.15	17.14	28.36	36.88	20.3	11.97	17.94	36.97	20.82	27.73	20.61	32.5	17.05	27.95	10.09	17.32	13.03	22.66	18.4	30.62	10.98	8.41	151.16	187.93	280.35	132.87	103.19	88.89	30.39	3901.27	2593.07	2843.96	7665.23	12006.75	9394.62	50.7	53.57	48.23	53.91	34.93	39.2	43.78	31.39	36.93	47.87	63.08	70.97	36.3	38.51	903.89	150.18	479.68	240.12	341.26	320.94	78.43	2049.86	56.01	998	75.74	2115.14	52.99	994.95	104.39	2271.25	68.95	1083.45	104.24	72.31	1749.58	626.03	784.04	836.39	1767.03	619.67	778.34	807.47	2133.78	763.46	898.03	877.25	762.88	992.58	1384.83	723.86	1159.36	280.06	150.55	556.13	91.24	56.3	118.07	92.83	141.44	78.26	354.15	71.91	93	66.02	74.36	175.38	1217.78	261.2	165.92	803.94	247.59	601.5	72.3	24.44	56.03	9.86	30.65	22.61
MAG3365	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola sp900556845	WOW	3.036815387	0.004048172	MAG3365	MAG3365	1649.253684	1726.522527	45.36	52.47	41.91	54.34	64.9	35.82	74.05	65.32	49.32	47.98	35.61	55.39	96.79	104.05	140.22	50.17	55.76	49.57	49.37	61.87	58.36	34.29	63.98	49.57	341.96	53.3	80.27	41	36.05	66.81	530.22	424.03	846.93	555.49	1338.71	351.07	89.44	594.65	32.75	393.19	267.83	148.35	160.75	189.06	565.75	1229.81	34.37	699.87	1322.73	3337.91	684.11	906.54	353.15	2066.72	906.39	1819.93	954.76	2621.98	247.11	1667.47	4751.95	2405.5	1186.9	2085.54	3004.01	2045.86	2312.79	3174.64	3733.78	235.46	3950.57	5708.68	1417.78	1920.52	1427.36	145.87	1100.8	11084.23	6016.51	1702.91	3817.26	969.04	4133.9	84.32	2310.05	2824.06	652.75	270.71	47.71	1529.98	1863.73	987.25	415.99	432.26	508.12	751.35	1514.51	3443.11	3248.79	3162.73	750.13	5014	4975.23	2071.24	2693.09	11394.72	7185.67	3622.32	4103.14	8813.47	8650.34	3605.56	3966.15	1393.65	421.35	552.99	680.99	757.16	1955.64	1140.72	933.75	27.06	20.58	23.12	24.46	36.85	31.66	90.69	355.32	2347.98	2821.74	487.92	2417.73	584.57	1816.45	402.36	6425.75	3812.17	197.89	2090.86	1984.24	83.39	91.73	1315.32	381.45	82.49	263.18	2.02	1.74	0.46	1.68	1.74	1.61	0.54	2.89	2.58	3.08	2.15	3.19	2.87	2.69	0.76	0.46	0.77	0.97	1.12	0.67	0.81	0.63	1.76	1.62	2.06	1.89	1.8	1.89	1495.27	12910.18	5143.31	257.15	6442.64	603.26	292.56	180.78	807.48	727.8	98.39	146.43	144.16	207.48	259.53	1520.8	178.13	199.86	14899.94	377.2	14922.68	20905.12	13013.47	16069.85	1594.2	83.06	2288.44	510.5	5045.55	1082.32
MAG1857	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola vulgatus	WOW	3.220840619	6.46E-19	MAG1857	MAG1857	61.89438596	1366.793077	43.02	71.79	71.02	182.64	105.78	58.14	52.45	60.31	49.22	35.31	40.94	66.32	103.78	95.96	92.37	56.04	64.67	66.94	60.98	44.06	48.24	47.78	56.44	43.25	105.11	40.14	43.6	43.31	45.39	55.18	32.86	31.76	41.14	35.42	26.84	37.29	89.15	248.58	13.26	87.45	110.28	60.35	148.38	149.14	171.48	99.71	57.17	53.78	64.3	54.7	86.73	61.24	89.37	139.15	62.5	69.37	52.25	61.89	31.97	53.48	76.34	34.99	47.45	50.44	50.65	48.09	43.46	38.72	48.83	31.98	50.65	60.95	41.65	52.27	44.21	28.5	38.97	61.37	51.41	40.91	48.53	39.09	54.96	22.82	47.94	38.65	42.43	31.35	22.62	56.14	47.07	34.24	39.98	31.42	38.77	34.25	35.19	47.84	38.89	72.71	37.42	75.97	72.8	69.65	58.54	93.45	51.23	78.04	70.84	96.16	97.77	98.07	59.23	58.89	47.59	137.1	205.4	177.33	73.9	51.72	49.43	18827.4	8750.75	10706.24	6128	5333.14	5976.59	52	48.59	65.04	75.46	44.29	57.72	51.17	51.87	55.83	89.81	76.47	73.35	53.27	62.18	486.65	138.3	791.36	158.84	222.96	161.36	2449.64	4531.96	1621.9	3440.26	2456.36	4622.3	1656.56	3486.34	2172.27	4194.67	1532.49	3115.02	2199.43	1567.97	1584.07	598.73	2102.95	1609.12	1581.98	599.52	2074.36	1604.47	1807.3	679.97	2106.32	2028.42	656.61	1865.97	59.31	234	107.07	1340.32	135.54	50.55	47.96	58.53	39.61	58.52	58.82	84.31	55.52	65.41	64.59	67.47	47.77	50.2	83.36	91.47	73.5	972.63	187.09	637.07	94.08	42.29	117.48	41.93	140.47	43.23
MAG1738	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Tidjanibacter	s__Tidjanibacter inops_A	WOW	3.691242134	0.000939551	MAG1738	MAG1738	54.09815789	4569.854066	52.81	129.74	39.19	78.11	99.88	36.34	213.91	48.68	52.88	68.55	97.79	88.3	79.15	35.92	40.23	28.65	54.72	72.5	96.7	107.1	85.35	42.23	52.56	91.39	31.95	97.5	86.84	59.51	85.45	40.44	37.68	44.63	43.08	29.76	44.09	25.69	43.83	68.24	10.14	64.06	47.26	7.05	166.93	18.34	112	49.86	99.96	39.49	61.48	52.91	133.35	111.73	161.53	67.64	100.6	74.74	73.55	59.06	59.45	50.08	31.97	52.94	41.83	42.3	30.45	54.15	47.51	43.83	9.71	45.08	27.07	34.63	43.51	57.18	41.26	59.24	58.11	22.04	34.52	52.04	46.61	57.96	42.41	73.09	41.07	24.24	35.69	42.62	27.68	33.75	19.23	38.6	15.72	50.97	39.29	47.66	35.15	27.16	36.81	73.55	41.17	45.95	25.35	29.66	19.52	20.79	10.5	43.37	41.42	24.59	21	33.51	7.93	11.22	23.99	42.28	59.89	57.36	39.72	35.27	37.28	85.21	82.28	77.32	60.08	56.49	57.48	54.83	45.23	61	61.42	58.24	38.62	44.44	27.54	42.63	26.8	36	85.82	39.72	34.85	24.16	11.68	14.49	13.48	15.65	10.12	13425.46	27658.01	20041.39	15548.43	13395.96	27289.3	19495.04	15309.96	19706.96	37347.64	27769.57	22187.27	19316.04	28514.56	1679.95	6694.86	10712.8	6838.92	1682.56	6773.37	10707.59	6897.52	2144.7	8206.98	13597.73	13698.81	8147.34	8464.29	38.09	37.11	38.81	45.23	18.99	53.63	25.8	29.92	37.41	38.49	51.9	194.15	45.09	32.44	40.66	35.6	30.43	58.18	12.98	15.72	19.22	18.42	16.08	17.76	97.1	19.38	21.69	4.93	5.86	41.27
MAG2038	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_D	s__Helicobacter_D pullorum	WOW	3.106366732	0.000727187	MAG2038	MAG2038	22.28236842	1174.526264	3.83	223.84	52.97	124.9	327.88	8.31	6.17	35.84	7.54	4.23	2.24	82.33	2.7	3.91	2.38	4.07	36.07	198.82	30.09	23.2	3.04	31.9	13.4	32.84	4.93	4.9	6.93	81.33	12.02	70.74	0.32	0.48	0.26	5.1	0.39	0.56	2.59	43.87	1.56	2.96	567.16	3.95	68.01	11.6	2.42	19.39	8.07	10.21	18.05	3.73	11.53	10.45	10.54	5.31	11.43	1.68	20.3	30	8.95	21.39	1.08	4.49	7.08	1.16	5.07	6.74	7.14	1.11	2.77	7.31	2.27	0.95	1.11	0.6	5.6	7.76	4.03	14.2	18.21	5.56	18.55	12.29	4.82	2.96	0.27	0.5	0.36	0.66	0.69	0.89	1	0.47	0.79	0.94	0.58	0.4	5.82	0.64	0.51	3.83	1.31	1.33	0.86	9.56	2.25	1.11	1.33	0.99	1.77	1.22	0.71	6.42	1.71	2.8	6.49	191.32	141.32	5.41	1.96	4.77	155.04	2.93	6.24	6.93	8.5	2.79	7.22	6.42	7.27	4.74	10.16	8.73	9.12	5.73	10.87	7.45	10.5	8.49	8.08	8.27	8.25	251.97	27.58	1.71	4.94	93.41	21.39	1.01	1.56	1.27	1.07	1.24	1.72	1.3	1.28	1.39	1.46	1.31	1.59	1.59	1.03	4695.32	11364.51	8395.79	10820.51	4763.26	11114.3	8275.31	10437.75	3136.95	7464.95	4905.69	4660.84	7696.18	7236.74	5.36	19.19	10.11	2.97	1.81	1.59	1.89	5.88	3.94	44.54	6.14	6.44	5.81	8.03	4.24	4.82	15.72	43.86	23.17	23.25	6.22	0.78	475.51	94.35	0.55	0.56	2.41	14.8	3.98	1.05
MAG1710	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Gastranaerophilales	f__Gastranaerophilaceae	g__Zag1	s__Zag1 sp000438175	WOW	3.474051059	0.000222574	MAG1710	MAG1710	286.5297368	2928.464945	743.63	267.84	579.19	983.37	1538.25	728.84	191.29	695.35	988.57	1857.08	508.21	886.79	194.21	112.66	43.33	462.44	1413.91	629.85	870.37	983.13	671	1228.57	763.04	530.81	21.1	254.89	1804.5	867.18	1459.26	1742.45	6.24	23.71	38.92	7.62	1.17	71.96	532.09	68.24	2.34	22.94	78.77	4.51	166.93	6.2	8.15	24.93	97.16	36.08	780.1	10.87	46.24	76.36	26.72	40.1	23.39	63.67	1267.9	287.97	288.11	462.88	62.58	274.56	17.74	242.67	69.32	13.03	26.69	145.29	8.32	2.13	4.95	36.09	3	84.74	108.41	11.79	72.89	61.45	71.27	87.81	49.55	58.46	15.85	6.5	18.62	16.83	13.25	10.1	255.03	2.19	6.08	10.47	4.42	11.27	17.84	11.08	4.57	8.15	18.04	49.97	473.73	28.63	172.99	22.83	403.55	34.74	327.82	9.62	160.94	4.22	45.1	60.01	328.22	5.61	151.62	89.66	62.36	17.64	389.55	816.15	93.14	1489.19	231.93	513.69	1062.95	15.73	678.36	13.19	17.54	8.15	24.04	11.23	23.17	13.81	19.55	23.46	14.61	11.93	46.51	21.3	30.05	799.12	433.49	268.71	502.55	543.94	194.8	18318.51	9741.79	28586.29	6635.74	18012.08	10200.74	29988.96	6690.11	7198.96	4151.31	14035.9	3598.05	7688.65	14548.45	8142.93	4409.27	4878.99	8054.95	8167.17	4301.88	4877.57	7816.48	5867.54	3012.25	3190.57	3012.71	3088.77	5982.18	43.23	45.23	40.69	1428.58	59.23	12.39	54.15	14.81	14.4	32.45	24.62	26.02	89.99	37.14	12.25	17.67	22.63	14.65	80.51	874.5	292.1	86.03	78.79	216.75	2.89	2.09	5.42	12.33	14.46	2.39
MAG1714	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__Bilophila wadsworthia	WOW	3.098013336	1.45E-09	MAG1714	MAG1714	14.91535088	1244.437033	25.87	63.63	21.73	30.94	35.82	37.38	40.11	19.2	18.54	20.28	29.93	35.57	17.96	25.4	25.71	33.89	24.46	31.68	22.79	22.26	20.24	24.08	19.69	33.25	27.02	32.78	20.43	21.16	30.71	24.07	9.03	8.29	10.26	3.31	8.6	7.03	15.17	19.5	2.34	12.47	15.75	2.26	55.64	10.52	17.21	33.24	18.24	28.59	25.95	8.68	11.87	19.7	10.93	10.87	16.32	11.44	12.31	14.88	6	18.48	4.11	3.59	7.32	9.41	5.17	17.91	9.96	11.23	3.33	7.62	7.49	5.14	5.01	6.9	12.75	6.24	12.58	13.3	6.9	10.71	17.76	23.79	12.55	9.04	5.19	4.8	5.06	14.46	20.99	6.55	4.84	5.91	2.71	11.77	7.19	9.59	10.43	4.03	7.5	6.21	5.73	4.54	4.18	11.86	5.46	3.33	1.62	3.82	1.29	6.6	3.72	3.08	1.01	5.61	8.27	8.53	7.55	7.29	6.66	20.93	16.88	719.79	162.87	248.24	493.75	170.29	385.59	10.68	10.49	8.84	12.26	28.91	16.71	11.25	7.27	12.35	8.69	5.15	11.44	13.13	10.5	37.11	33.83	89.21	16.85	35.11	30.1	981.21	2721.57	2909.6	23289.11	999.62	2580.94	2888.09	23316.79	1227.45	3224.02	3957.32	23383.96	1273.93	3991.63	212.52	1369.75	1082.06	519	215.97	1388.18	1089.95	529.85	260.57	1575.94	1396.62	1427.3	1606.2	650.59	10.54	15	13.12	169.48	9.07	22.35	10.09	11.33	10.8	10.95	10.14	11.18	9.6	10.75	7.34	11.8	11.02	7.98	11.67	9.86	11.23	29.05	14.56	23.49	1.64	10.37	7.23	2.47	16.27	7.13
MAG1748	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__Bilophila wadsworthia	WOW	3.176003363	7.20E-11	MAG1748	MAG1748	13.90236842	1496.299451	22.25	80.88	17.66	21.89	32.45	24.92	22.63	20.42	15.92	13.43	25.66	30.75	17.01	17.45	22.14	27.08	20.73	27.44	23.44	18.75	23.61	25.72	14.86	24.07	26.82	26.65	15.32	28.1	26.7	23.67	6.9	7.62	7.43	3.23	7.8	6.56	14.77	29.25	3.9	15.16	15.75	3.95	80.37	9.17	14.19	30.47	20.34	25.19	21.43	7.54	13.17	18.33	10.1	11.6	15.55	11.07	17.14	17.25	13.45	22.37	2.51	6.28	7.2	6.98	4.58	14.12	9.57	9.68	3.61	6.4	6.02	3.3	4.87	5.71	11.08	5.82	11.2	12.76	7.82	11.45	17.53	20.28	11.33	9.1	3.31	3.75	4.05	10.7	19.82	3.89	3.69	4.65	2.22	9.32	6.19	7.7	7.48	3.55	5.17	5.93	5.08	4.63	4.37	10.6	5.08	3.01	2.08	2.69	1.68	5.44	2.86	3.33	1.13	2.8	7.77	8.08	7.76	5.97	6.43	16.75	12.47	944.88	212.35	323.29	654.81	237.01	514.22	10.38	9.68	15.98	14.98	35.65	13.35	10.13	7.31	11.34	7.09	7.63	11.61	11.58	15.11	42.9	37.04	113.26	18.03	38.47	31.59	1042.01	2760.98	3059.91	29416.47	1057	2731.64	3018.29	29497.07	1307.09	3412.15	4213.65	30190.6	1347.73	4283.68	227.46	1549	1134.27	561.57	226.46	1571.97	1146.15	573.43	291.47	1857.64	1507.62	1532.06	1885.92	705.68	19.61	21.8	20.93	203.34	8.97	17.15	9.14	9.52	9.23	10.26	9.93	9.26	7.81	10.48	7.77	9.42	10.5	6.43	10.52	12.76	12.45	29.05	13.78	25.46	1.25	11.26	4.52	101.11	9.62	6.05
MAG1920	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Bilophila	s__Bilophila wadsworthia	WOW	3.343020238	2.89E-15	MAG1920	MAG1920	7.654824561	1916.033626	8.52	43.28	11.45	4.91	14.33	7.79	7.2	10.28	7.75	6.76	10.87	9.53	5.4	4.5	1.9	8.69	9.33	12.33	12.78	5.39	9.11	5.8	7.25	10	4.54	13.62	9.85	7.6	8.01	9.87	6.55	8.29	6.96	2.7	8.05	5.69	10.8	24.37	0.78	8.03	15.75	1.41	30.91	2.7	10.26	38.78	11.22	10.89	19.74	3.16	8.28	12.83	5.5	4.83	10.94	6.72	10.32	10.16	5.92	12.16	2.68	4.49	5.41	6.13	3.4	9.77	10.66	8.28	0	1.22	3.57	2.41	3.44	4.24	7.39	5.88	9.28	7.88	5.03	8.38	12.44	17.03	9.95	7.99	3.42	2.2	3.73	9.99	8.61	2	3.18	5.64	2.1	12.33	5.8	7.82	5.27	1.88	3.04	4.76	4	2.92	2.14	5.86	4.05	1.67	0.69	0.63	0.68	1.81	1.22	1.81	0.31	2.8	5.53	11.44	8.68	5.2	5.2	13.2	10.88	120.73	35.75	52.22	92.88	35.83	72.23	10.27	8.9	2.94	7.4	11.15	10.2	10.58	4.82	9.84	3.88	3.24	7.5	7.51	6.17	14.28	13.75	18.8	7.67	14.12	11.48	4517.27	12523.34	13828.99	3749.09	4494.53	12213.93	13410.9	3767.1	4518.8	12079	14987.26	5038.25	4611.7	14626.34	1043.63	4556.18	5048.19	2452.95	881.74	4614.52	5115.98	2468.74	889.39	4513.35	5131.65	5285.03	4555.44	2447.22	9.92	11.5	11.34	35.9	6.96	11.4	12.98	17.96	16.21	12.66	12.93	11.26	7.64	10.78	9.7	8.85	28	20.73	8.54	9.77	6.56	14.67	7.19	12.38	0.45	5.79	1.81	2.47	3.4	4.53
