Bin	genes	ARO	AMR Gene Family	phylum
ANCeC4.Bin101	252	124	196	Firmicutes
ANCeC4.Bin103	143	88	102	Firmicutes
ANCeC4.Bin108	117	71	102	Firmicutes
ANCeC4.Bin11	166	117	148	Bacteroidota
ANCeC4.Bin17	105	73	91	Firmicutes
ANCeC4.Bin22	155	110	132	Proteobacteria
ANCeC4.Bin26	72	49	58	Methanobacteriota
ANCeC4.Bin29	171	109	134	Firmicutes
ANCeC4.Bin3	93	63	81	Actinobacteriota
ANCeC4.Bin30	309	150	251	Firmicutes
ANCeC4.Bin32	137	89	125	Firmicutes
ANCeC4.Bin35	140	108	114	Bacteroidota
ANCeC4.Bin36	157	110	133	Desulfobacterota
ANCeC4.Bin37	159	93	144	Spirochaetota
ANCeC4.Bin39	158	105	134	Deferribacterota
ANCeC4.Bin45	163	102	130	Spirochaetota
ANCeC4.Bin50	130	102	114	Bacteroidota
ANCeC4.Bin53	106	85	88	Elusimicrobiota
ANCeC4.Bin54	247	119	189	Firmicutes
ANCeC4.Bin55	277	123	260	Firmicutes
ANCeC4.Bin57	152	99	120	Cyanobacteria
ANCeC4.Bin58	215	120	162	Firmicutes
ANCeC4.Bin6	76	55	64	Firmicutes
ANCeC4.Bin73	124	96	106	Bacteroidota
ANCeC4.Bin76	208	128	172	Bacteroidota
ANCeC4.Bin80	228	143	188	Bacteroidota
ANCeC4.Bin81	328	135	250	Firmicutes
ANCeC4.Bin82	222	138	196	Bacteroidota
ANCeC4.Bin83	126	83	101	Firmicutes
ANCeC4.Bin84	57	49	52	Firmicutes
ANCeC4.Bin85	90	63	80	Firmicutes
ANCeC4.Bin87	141	95	111	Firmicutes
ANCeC4.Bin91	270	134	206	Firmicutes
ANCeC4.Bin94	196	117	153	Firmicutes
ANCeC4.Bin96	127	86	108	Desulfobacterota
ANCeC5.Bin1	113	95	94	Elusimicrobiota
ANCeC5.Bin11	139	106	114	Bacteroidota
ANCeC5.Bin16	67	54	51	Proteobacteria
ANCeC5.Bin20	170	95	140	Firmicutes
ANCeC5.Bin22	200	110	165	Firmicutes
ANCeC5.Bin24	200	103	159	Firmicutes
ANCeC5.Bin25	190	116	166	Bacteroidota
ANCeC5.Bin3	80	62	68	Firmicutes
ANCeC5.Bin30	202	133	170	Bacteroidota
ANCeC5.Bin32	227	110	198	Firmicutes
ANCeC5.Bin34	71	61	75	Bacteroidota
ANCeC5.Bin45	187	123	172	Bacteroidota
ANCeC5.Bin50	308	144	258	Firmicutes
ANCeC5.Bin52	132	96	115	Firmicutes
ANCeC5.Bin54	179	122	145	Desulfobacterota
ANCeC5.Bin55	128	92	100	Firmicutes
ANCeC5.Bin56	66	59	66	Bacteroidota
ANCeC5.Bin6	177	105	165	Spirochaetota
ANCeC5.Bin60	143	86	116	Synergistota
ANCeC5.Bin64	177	102	136	Firmicutes
ANCeC5.Bin67	210	137	196	Bacteroidota
ANCeC5.Bin68	311	142	252	Firmicutes
ANCeC5.Bin69	207	106	167	Firmicutes
ANCeC5.Bin71	139	95	123	Firmicutes
ANCeC5.Bin73	137	97	115	Bacteroidota
ANCeC5.Bin74	155	102	128	Desulfobacterota
ANCeC6.Bin102	70	50	64	Firmicutes
ANCeC6.Bin103	155	90	124	Firmicutes
ANCeC6.Bin104	102	83	90	Bacteroidota
ANCeC6.Bin111	137	87	117	Firmicutes
ANCeC6.Bin114	113	88	90	Elusimicrobiota
ANCeC6.Bin116	172	88	144	Firmicutes
ANCeC6.Bin118	77	53	72	Firmicutes
ANCeC6.Bin124	55	47	44	Proteobacteria
ANCeC6.Bin126	221	115	170	Firmicutes
ANCeC6.Bin127	102	62	88	Firmicutes
ANCeC6.Bin13	88	72	68	Firmicutes
ANCeC6.Bin131	179	97	151	Firmicutes
ANCeC6.Bin134	174	119	147	Bacteroidota
ANCeC6.Bin138	103	76	82	Cyanobacteria
ANCeC6.Bin140	254	116	197	Firmicutes
ANCeC6.Bin17	136	97	126	Bacteroidota
ANCeC6.Bin19	122	83	97	Firmicutes
ANCeC6.Bin2	202	113	174	Firmicutes
ANCeC6.Bin20	140	104	118	Proteobacteria
ANCeC6.Bin23	194	132	158	Firmicutes
ANCeC6.Bin26	169	98	132	Firmicutes
ANCeC6.Bin27	187	130	163	Bacteroidota
ANCeC6.Bin28	73	54	61	Firmicutes
ANCeC6.Bin32	70	53	62	Firmicutes
ANCeC6.Bin39	91	71	78	Actinobacteriota
ANCeC6.Bin41	125	97	107	Bacteroidota
ANCeC6.Bin42	90	74	75	Elusimicrobiota
ANCeC6.Bin43	170	111	139	Desulfobacterota
ANCeC6.Bin44	142	99	121	Bacteroidota
ANCeC6.Bin45	118	87	105	Bacteroidota
ANCeC6.Bin46	86	67	74	Firmicutes
ANCeC6.Bin50	150	92	133	Bacteroidota
ANCeC6.Bin55	251	127	208	Firmicutes
ANCeC6.Bin58	159	95	130	Firmicutes
ANCeC6.Bin59	84	71	77	Proteobacteria
ANCeC6.Bin63	91	60	72	Cyanobacteria
ANCeC6.Bin64	103	73	80	Cyanobacteria
ANCeC6.Bin69	71	56	62	Verrucomicrobiota
ANCeC6.Bin71	302	141	244	Firmicutes
ANCeC6.Bin72	125	91	104	Campylobacterota
ANCeC6.Bin75	115	77	105	Firmicutes
ANCeC6.Bin76	114	78	94	Firmicutes
ANCeC6.Bin79	223	118	184	Firmicutes
ANCeC6.Bin81	145	90	123	Firmicutes
ANCeC6.Bin82	101	63	78	Firmicutes
ANCeC6.Bin83	148	93	124	Firmicutes
ANCeC6.Bin87	231	118	165	Firmicutes
ANCeC6.Bin88	187	104	146	Firmicutes
ANCeC6.Bin89	51	41	41	Proteobacteria
ANCeC6.Bin9	192	124	165	Bacteroidota
ANCeC6.Bin91	156	106	137	Deferribacterota
ANCeC6.Bin94	136	101	109	Bacteroidota
ANCeC6.Bin95	168	97	148	Firmicutes
ANCeC7.Bin102	218	123	182	Firmicutes
ANCeC7.Bin105	55	50	45	Firmicutes
ANCeC7.Bin106	388	157	287	Firmicutes
ANCeC7.Bin11	189	118	167	Desulfobacterota
ANCeC7.Bin111	153	100	115	Verrucomicrobiota
ANCeC7.Bin113	53	47	44	Firmicutes
ANCeC7.Bin114	199	122	173	Bacteroidota
ANCeC7.Bin117	131	84	114	Firmicutes
ANCeC7.Bin118	80	70	71	Bacteroidota
ANCeC7.Bin121	222	114	168	Firmicutes
ANCeC7.Bin126	159	95	133	Firmicutes
ANCeC7.Bin130	244	145	208	Bacteroidota
ANCeC7.Bin131	84	58	71	Firmicutes
ANCeC7.Bin133	171	99	138	Firmicutes
ANCeC7.Bin137	128	85	102	Firmicutes
ANCeC7.Bin141	181	104	159	Spirochaetota
ANCeC7.Bin142	184	99	146	Firmicutes
ANCeC7.Bin143	195	119	181	Bacteroidota
ANCeC7.Bin144	128	107	109	Bacteroidota
ANCeC7.Bin146	216	119	169	Firmicutes
ANCeC7.Bin15	121	70	103	Firmicutes
ANCeC7.Bin17	168	118	132	Proteobacteria
ANCeC7.Bin18	101	84	84	Elusimicrobiota
ANCeC7.Bin19	120	84	106	Firmicutes
ANCeC7.Bin23	258	122	195	Firmicutes
ANCeC7.Bin26	61	48	52	Firmicutes
ANCeC7.Bin27	154	93	131	Firmicutes
ANCeC7.Bin28	174	124	160	Bacteroidota
ANCeC7.Bin29	188	95	151	Firmicutes
ANCeC7.Bin30	101	71	90	Firmicutes
ANCeC7.Bin34	102	71	75	Cyanobacteria
ANCeC7.Bin35	154	117	128	Bacteroidota
ANCeC7.Bin42	156	98	118	Firmicutes
ANCeC7.Bin43	197	110	143	Firmicutes
ANCeC7.Bin44	90	64	77	Firmicutes
ANCeC7.Bin48	136	93	106	Verrucomicrobiota
ANCeC7.Bin5	303	127	242	Firmicutes
ANCeC7.Bin51	139	91	111	Cyanobacteria
ANCeC7.Bin53	85	63	73	Firmicutes
ANCeC7.Bin55	162	98	156	Verrucomicrobiota
ANCeC7.Bin57	181	116	163	Bacteroidota
ANCeC7.Bin64	125	85	113	Firmicutes
ANCeC7.Bin66	131	92	120	Firmicutes
ANCeC7.Bin68	210	132	175	Bacteroidota
ANCeC7.Bin7	235	132	201	Firmicutes
ANCeC7.Bin70	120	82	114	Bacteroidota
ANCeC7.Bin77	165	122	140	Bacteroidota
ANCeC7.Bin78	63	48	47	Firmicutes
ANCeC7.Bin79	83	66	68	Cyanobacteria
ANCeC7.Bin80	235	120	207	Firmicutes
ANCeC7.Bin82	105	75	96	Firmicutes
ANCeC7.Bin86	153	99	123	Proteobacteria
ANCeC7.Bin88	184	102	159	Firmicutes
ANCeC7.Bin9	220	100	202	Firmicutes
ANCeC7.Bin91	121	70	107	Firmicutes
ANCeC7.Bin92	128	74	103	Firmicutes
ANCeC7.Bin93	126	95	102	Verrucomicrobiota
ANCeC7.Bin94	62	52	49	Proteobacteria
ANCeC7.Bin95	89	66	88	Verrucomicrobiota
ANCeC7.Bin98	125	90	117	Bacteroidota
CeC105.Bin10	171	107	144	Firmicutes
CeC105.Bin11	104	80	84	Proteobacteria
CeC105.Bin15	98	68	80	Synergistota
CeC105.Bin16	65	54	56	Campylobacterota
CeC105.Bin2	198	113	174	Bacteroidota
CeC105.Bin23	113	74	96	Firmicutes
CeC105.Bin24	261	124	215	Firmicutes
CeC105.Bin29	137	94	119	Firmicutes
CeC105.Bin31	148	91	129	Desulfobacterota
CeC105.Bin33	103	70	94	Firmicutes
CeC105.Bin34	135	112	117	Bacteroidota
CeC105.Bin5	133	91	106	Cyanobacteria
CeC105.Bin6	104	72	89	Firmicutes
CeC105.Bin9	110	77	95	Firmicutes
CeC108.Bin1	72	57	67	Firmicutes
CeC108.Bin10	115	72	96	Firmicutes
CeC108.Bin11	136	93	102	Cyanobacteria
CeC108.Bin14	96	69	85	Firmicutes
CeC108.Bin17	103	88	92	Bacteroidota
CeC108.Bin2	90	62	81	Firmicutes
CeC108.Bin5	256	153	221	Bacteroidota
CeC108.Bin6	89	72	74	Campylobacterota
CeC108.Bin7	134	92	109	Cyanobacteria
CeC112.Bin1	84	66	62	Proteobacteria
CeC139.Bin1	103	75	74	Cyanobacteria
CeC139.Bin12	99	82	79	Bacteroidota
CeC139.Bin14	72	54	68	Firmicutes
CeC139.Bin16	172	100	143	Fusobacteriota
CeC139.Bin17	81	67	66	Campylobacterota
CeC139.Bin21	239	141	199	Bacteroidota
CeC139.Bin24	131	99	119	Bacteroidota
CeC149.Bin13	117	93	93	Elusimicrobiota
CeC149.Bin20	245	130	210	Firmicutes
CeC149.Bin22	63	52	56	Cyanobacteria
CeC149.Bin24	206	132	178	Bacteroidota
CeC149.Bin32	151	112	119	Bacteroidota
CeC149.Bin33	120	71	102	Firmicutes
CeC149.Bin36	184	126	161	Firmicutes
CeC149.Bin4	183	124	162	Bacteroidota
CeC149.Bin5	110	83	96	Desulfobacterota
CeC149.Bin7	258	160	229	Bacteroidota
CeC149.Bin8	121	92	101	Bacteroidota
CeC161.Bin1	111	80	86	Elusimicrobiota
CeC161.Bin11	109	76	93	Firmicutes
CeC161.Bin13	143	107	117	Bacteroidota
CeC161.Bin14	85	71	76	Elusimicrobiota
CeC161.Bin16	82	63	75	Firmicutes
CeC161.Bin20	115	71	98	Firmicutes
CeC161.Bin22	54	39	52	Halobacteriota
CeC161.Bin24	159	114	138	Bacteroidota
CeC161.Bin25	94	78	82	Spirochaetota
CeC161.Bin28	69	52	61	Firmicutes
CeC161.Bin29	99	60	87	Firmicutes
CeC161.Bin3	125	80	121	Firmicutes
CeC161.Bin33	80	66	70	Campylobacterota
CeC161.Bin5	92	73	84	Proteobacteria
CeC164.Bin12	317	144	232	Firmicutes
CeC164.Bin15	125	85	108	Synergistota
CeC164.Bin16	83	67	76	Spirochaetota
CeC164.Bin20	104	85	88	Bacteroidota
CeC164.Bin26	88	61	91	Firmicutes
CeC164.Bin29	87	64	76	Fusobacteriota
CeC164.Bin33	170	129	142	Bacteroidota
CeC164.Bin35	117	80	93	Verrucomicrobiota
CeC164.Bin39	144	97	115	Proteobacteria
CeC164.Bin9	235	129	203	Bacteroidota
CeC192.Bin10	146	90	126	Firmicutes
CeC192.Bin100	154	86	125	Firmicutes
CeC192.Bin101	130	97	106	Bacteroidota
CeC192.Bin106	178	104	136	Firmicutes
CeC192.Bin109	135	94	126	Bacteroidota
CeC192.Bin11	243	143	206	Bacteroidota
CeC192.Bin112	177	121	151	Firmicutes
CeC192.Bin113	95	65	84	Firmicutes
CeC192.Bin119	186	126	158	Bacteroidota
CeC192.Bin121	283	131	213	Firmicutes
CeC192.Bin122	128	87	116	Bacteroidota
CeC192.Bin126	153	113	140	Bacteroidota
CeC192.Bin128	183	102	143	Firmicutes
CeC192.Bin130	182	105	145	Firmicutes
CeC192.Bin131	119	87	94	Elusimicrobiota
CeC192.Bin18	178	106	159	Bacteroidota
CeC192.Bin21	154	102	122	Actinobacteriota
CeC192.Bin22	190	126	164	Bacteroidota
CeC192.Bin24	185	107	146	Firmicutes
CeC192.Bin25	225	131	183	Firmicutes
CeC192.Bin27	175	116	135	Proteobacteria
CeC192.Bin3	169	106	156	Bacteroidota
CeC192.Bin31	112	67	98	Firmicutes
CeC192.Bin41	162	111	132	Desulfobacterota
CeC192.Bin42	195	109	157	Firmicutes
CeC192.Bin44	147	112	118	Bacteroidota
CeC192.Bin5	167	111	143	Deferribacterota
CeC192.Bin50	172	119	141	Bacteroidota
CeC192.Bin56	201	102	162	Firmicutes
CeC192.Bin59	101	79	88	Bacteroidota
CeC192.Bin62	235	111	206	Firmicutes
CeC192.Bin64	170	111	122	Firmicutes
CeC192.Bin68	191	118	158	Bacteroidota
CeC192.Bin69	155	95	143	Firmicutes
CeC192.Bin70	264	123	217	Firmicutes
CeC192.Bin72	183	117	152	Desulfobacterota
CeC192.Bin73	109	64	98	Firmicutes
CeC192.Bin74	159	111	145	Bacteroidota
CeC192.Bin78	168	90	134	Firmicutes
CeC192.Bin81	117	79	96	Firmicutes
CeC192.Bin83	158	99	134	Firmicutes
CeC192.Bin85	147	92	125	Firmicutes
CeC192.Bin88	214	117	179	Firmicutes
CeC192.Bin90	142	83	118	Firmicutes
CeC192.Bin91	358	144	301	Firmicutes
CeC192.Bin95	179	102	148	Firmicutes
CeC200.Bin10	121	84	98	Synergistota
CeC200.Bin16	144	86	118	Firmicutes
CeC200.Bin18	269	134	214	Firmicutes
CeC200.Bin2	132	84	100	Desulfobacterota
CeC200.Bin24	362	151	291	Firmicutes
CeC200.Bin26	86	66	74	Deferribacterota
CeC200.Bin28	212	129	182	Bacteroidota
CeC200.Bin29	113	75	98	Firmicutes
CeC200.Bin30	115	75	93	Firmicutes
CeC200.Bin31	193	118	168	Desulfobacterota
CeC200.Bin34	171	99	147	Firmicutes
CeC200.Bin6	178	127	153	Bacteroidota
CeC200.Bin9	122	98	98	Campylobacterota
CeC38.Bin1	164	107	135	Firmicutes
CeC38.Bin13	212	139	189	Bacteroidota
CeC38.Bin16	156	100	120	Proteobacteria
CeC38.Bin17	108	89	91	Elusimicrobiota
CeC38.Bin2	167	104	139	Desulfobacterota
CeC38.Bin21	122	89	104	Desulfobacterota
CeC38.Bin23	112	70	111	Firmicutes
CeC38.Bin28	115	76	98	Firmicutes
CeC38.Bin30	121	91	119	Bacteroidota
CeC38.Bin32	108	86	95	Bacteroidota
CeC38.Bin34	93	68	78	Firmicutes
CeC6.Bin10	128	101	103	Elusimicrobiota
CeC6.Bin13	194	111	155	Firmicutes
CeC6.Bin2	107	67	94	Firmicutes
CeC6.Bin20	153	99	120	Actinobacteriota
CeC6.Bin22	126	90	108	Bacteroidota
CeC6.Bin26	97	76	86	Firmicutes
CeC6.Bin28	68	51	60	Halobacteriota
CeC6.Bin3	109	74	94	Firmicutes
CeC6.Bin30	136	88	95	Cyanobacteria
CeC6.Bin31	103	85	82	Campylobacterota
CeC6.Bin32	100	84	89	Elusimicrobiota
CeC6.Bin37	104	75	100	Firmicutes
CeC6.Bin39	97	74	81	Firmicutes
CeC6.Bin9	87	63	75	Firmicutes
CeC67.Bin12	124	78	95	Firmicutes
CeC67.Bin14	219	111	185	Firmicutes
CeC67.Bin20	125	83	107	Synergistota
CeC67.Bin23	171	96	132	Actinobacteriota
CeC67.Bin28	70	50	61	Halobacteriota
CeC67.Bin29	129	95	100	Desulfobacterota
CeC67.Bin35	124	79	101	Actinobacteriota
CeC67.Bin40	215	120	173	Firmicutes
CeC67.Bin45	176	111	151	Desulfobacterota
CeC67.Bin9	166	121	140	Bacteroidota
FJCeC1.Bin10	216	108	196	Firmicutes
FJCeC1.Bin100	51	41	42	Firmicutes
FJCeC1.Bin102	153	94	119	Firmicutes
FJCeC1.Bin103	171	120	138	Desulfobacterota
FJCeC1.Bin107	242	119	178	Firmicutes
FJCeC1.Bin110	221	135	194	Bacteroidota
FJCeC1.Bin115	164	102	138	Spirochaetota
FJCeC1.Bin116	93	60	78	Firmicutes
FJCeC1.Bin117	221	133	195	Bacteroidota
FJCeC1.Bin118	117	85	99	Firmicutes
FJCeC1.Bin119	217	101	181	Firmicutes
FJCeC1.Bin19	128	105	121	Bacteroidota
FJCeC1.Bin2	108	73	98	Firmicutes
FJCeC1.Bin20	110	74	90	Firmicutes
FJCeC1.Bin23	220	113	183	Firmicutes
FJCeC1.Bin31	150	95	124	Firmicutes
FJCeC1.Bin33	168	89	148	Spirochaetota
FJCeC1.Bin35	202	109	167	Firmicutes
FJCeC1.Bin38	198	118	166	Bacteroidota
FJCeC1.Bin40	122	84	102	Bacteroidota
FJCeC1.Bin41	196	104	153	Firmicutes
FJCeC1.Bin44	193	102	162	Firmicutes
FJCeC1.Bin45	44	38	37	Firmicutes
FJCeC1.Bin46	153	107	138	Bacteroidota
FJCeC1.Bin48	216	118	161	Firmicutes
FJCeC1.Bin49	152	108	137	Bacteroidota
FJCeC1.Bin50	169	106	145	Firmicutes
FJCeC1.Bin51	348	156	282	Firmicutes
FJCeC1.Bin52	153	109	136	Bacteroidota
FJCeC1.Bin54	185	116	158	Desulfobacterota
FJCeC1.Bin55	99	66	88	Firmicutes
FJCeC1.Bin57	122	77	103	Firmicutes
FJCeC1.Bin60	78	59	70	Firmicutes
FJCeC1.Bin61	104	83	90	Spirochaetota
FJCeC1.Bin62	208	111	176	Firmicutes
FJCeC1.Bin63	179	125	157	Firmicutes
FJCeC1.Bin64	67	49	58	Halobacteriota
FJCeC1.Bin66	97	66	84	Firmicutes
FJCeC1.Bin67	211	126	168	Firmicutes
FJCeC1.Bin69	112	77	113	Firmicutes
FJCeC1.Bin70	220	114	182	Firmicutes
FJCeC1.Bin71	228	134	213	Bacteroidota
FJCeC1.Bin72	123	93	103	Bacteroidota
FJCeC1.Bin73	207	129	188	Bacteroidota
FJCeC1.Bin78	167	111	151	Bacteroidota
FJCeC1.Bin80	232	140	207	Bacteroidota
FJCeC1.Bin81	149	111	119	Bacteroidota
FJCeC1.Bin84	140	110	116	Bacteroidota
FJCeC1.Bin85	146	89	116	Proteobacteria
FJCeC1.Bin87	154	110	131	Bacteroidota
FJCeC1.Bin88	208	115	175	Actinobacteriota
FJCeC1.Bin90	219	121	182	Firmicutes
FJCeC1.Bin96	203	128	175	Bacteroidota
FJCeC1.Bin99	176	128	147	Bacteroidota
FJCeC2.Bin106	119	76	94	Actinobacteriota
FJCeC2.Bin107	131	89	104	Proteobacteria
FJCeC2.Bin11	142	95	139	Bacteroidota
FJCeC2.Bin110	147	104	124	Spirochaetota
FJCeC2.Bin111	94	72	74	Spirochaetota
FJCeC2.Bin112	90	72	82	Bacteroidota
FJCeC2.Bin114	138	89	110	Firmicutes
FJCeC2.Bin119	100	64	98	Spirochaetota
FJCeC2.Bin12	138	103	124	Bacteroidota
FJCeC2.Bin121	150	85	121	Actinobacteriota
FJCeC2.Bin123	121	76	104	Firmicutes
FJCeC2.Bin125	137	83	117	Firmicutes
FJCeC2.Bin126	200	134	181	Bacteroidota
FJCeC2.Bin133	186	103	149	Firmicutes
FJCeC2.Bin136	138	103	104	Verrucomicrobiota
FJCeC2.Bin138	201	134	177	Bacteroidota
FJCeC2.Bin139	108	79	93	Bacteroidota
FJCeC2.Bin141	187	96	153	Firmicutes
FJCeC2.Bin16	113	67	87	Firmicutes
FJCeC2.Bin19	85	73	77	Bacteroidota
FJCeC2.Bin21	184	117	162	Bacteroidota
FJCeC2.Bin24	159	100	121	Spirochaetota
FJCeC2.Bin25	142	100	134	Bacteroidota
FJCeC2.Bin26	86	62	74	Firmicutes
FJCeC2.Bin28	154	107	135	Bacteroidota
FJCeC2.Bin32	128	82	103	Firmicutes
FJCeC2.Bin34	88	73	79	Bacteroidota
FJCeC2.Bin36	137	109	119	Bacteroidota
FJCeC2.Bin37	56	43	48	Patescibacteria
FJCeC2.Bin39	140	110	114	Bacteroidota
FJCeC2.Bin4	117	90	98	Firmicutes
FJCeC2.Bin42	193	120	152	Desulfobacterota
FJCeC2.Bin44	102	78	89	Firmicutes
FJCeC2.Bin45	211	104	178	Firmicutes
FJCeC2.Bin48	103	77	86	Bacteroidota
FJCeC2.Bin51	170	101	138	Firmicutes
FJCeC2.Bin52	163	104	131	Deferribacterota
FJCeC2.Bin53	194	104	146	Firmicutes
FJCeC2.Bin55	178	122	159	Bacteroidota
FJCeC2.Bin57	136	99	113	Deferribacterota
FJCeC2.Bin65	207	103	176	Firmicutes
FJCeC2.Bin67	131	94	112	Bacteroidota
FJCeC2.Bin70	160	88	146	Spirochaetota
FJCeC2.Bin71	187	102	157	Firmicutes
FJCeC2.Bin72	225	120	199	Firmicutes
FJCeC2.Bin78	132	86	102	Firmicutes
FJCeC2.Bin8	123	85	107	Firmicutes
FJCeC2.Bin84	192	103	152	Firmicutes
FJCeC2.Bin89	131	92	109	Bacteroidota
FJCeC2.Bin92	178	113	155	Desulfobacterota
FJCeC2.Bin95	206	115	173	Firmicutes
FJCeC2.Bin96	119	81	88	Bacteroidota
FJCeC3.Bin103	86	62	78	Firmicutes
FJCeC3.Bin104	197	113	165	Firmicutes
FJCeC3.Bin105	131	103	113	Bacteroidota
FJCeC3.Bin107	122	92	105	Bacteroidota
FJCeC3.Bin108	184	130	147	Bacteroidota
FJCeC3.Bin11	80	53	70	Firmicutes
FJCeC3.Bin110	184	102	165	Firmicutes
FJCeC3.Bin112	154	110	138	Bacteroidota
FJCeC3.Bin115	26	22	24	Firmicutes
FJCeC3.Bin117	60	43	57	Firmicutes
FJCeC3.Bin118	141	86	118	Firmicutes
FJCeC3.Bin12	178	120	141	Desulfobacterota
FJCeC3.Bin122	85	63	72	Firmicutes
FJCeC3.Bin125	189	97	167	Firmicutes
FJCeC3.Bin127	142	95	113	Firmicutes
FJCeC3.Bin13	266	133	215	Firmicutes
FJCeC3.Bin130	110	70	94	Firmicutes
FJCeC3.Bin17	119	94	111	Bacteroidota
FJCeC3.Bin18	180	97	162	Firmicutes
FJCeC3.Bin20	199	102	172	Firmicutes
FJCeC3.Bin24	185	122	187	Bacteroidota
FJCeC3.Bin26	54	43	43	Firmicutes
FJCeC3.Bin27	151	115	121	Bacteroidota
FJCeC3.Bin28	139	94	113	Proteobacteria
FJCeC3.Bin30	101	70	88	Firmicutes
FJCeC3.Bin31	167	112	136	Desulfobacterota
FJCeC3.Bin32	143	99	116	Bacteroidota
FJCeC3.Bin33	168	93	158	Spirochaetota
FJCeC3.Bin34	35	28	28	Methanobacteriota
FJCeC3.Bin36	119	84	107	Desulfobacterota
