The quality of MAGs				
Sample	Bin Genome	high-quality(complete>90% & contam..<5%)	medium-quality(complete>50% & contam..<10%)	low-quality(complete<50% & contam..<10%)
MD7d_CeC_6	16	7	9	7
PD42d_CeC1	59	16	31	22
PD42d_CeC2	48	14	28	19
PD42d_CeC4	44	8	25	15
PD42d_CeC5	47	10	23	21
PD42d_CeC6	49	13	24	20
PD42d_CeC7	49	14	28	19
PD42d_CeC8	32	11	21	8
PD70dCeC1	93	16	42	36
PD70dCeC2	74	16	39	22
PD70dCeC3	91	22	46	32
PD70dCeC4	84	20	45	29
PD70dCeC5	73	13	34	25
PD70dCeC6	76	17	32	32
PD70dCoC1	39	4	12	21
PD70d_CeC1	79	15	34	37
PD70d_CeC2	75	15	38	25
PD70d_CeC3	97	26	51	36
PD70d_CeC4	63	11	28	26
PD70d_CeC5	81	15	36	34
PD70d_CeC6	85	19	41	27
PD70d_CeC7	84	24	41	30
PD70d_CeC8	61	16	28	23
PD7d_CeC_4	19	5	12	6
PD7d_CeC_5	26	7	14	9
PD7d_CeC_6	33	5	18	12
PD7d_CeC_8	26	5	14	8
SDCeC1	85	23	42	32
SDCeC2	75	16	42	22
SDCeC3	70	14	31	31
SDCeC4	44	6	16	21
SDCeC5	85	21	46	30
SDCeC6	65	16	32	28
SDQCeC10L	47	2	23	19
SDQCeC1L	117	6	37	66
SDQCeC1R	126	9	53	53
SDQCeC2L	49	2	20	24
SDQCeC3L	73	5	19	43
SDQCeC4L	134	7	46	72
SDQCeC4R	92	4	32	41
SDQCeC8L	63	6	19	33
SDQCeC8R	56	4	18	29
SDQCeC9L	96	9	36	42
SDQCeC9R	106	5	41	47
SDQCoC5	38	7	19	12
SDQILC1	37	4	13	15
SDQILC2	16	2	9	6
SDQILC4	17	1	7	7
SDQILC5	41	8	17	19
SHCeC1	86	8	28	42
SHCeC12	121	14	45	53
SHCeC15	80	14	35	31
SHCeC16	137	19	56	55
SHCeC17	113	16	50	47
SHCeC18	113	18	43	52
SHCeC24	159	24	71	65
SHCeC26	103	14	44	44
SHCeC27	138	23	69	44
SHCeC28	123	13	52	53
SHCeC4	88	13	30	42
SHCeC7	81	10	29	38
SSCeC-1	87	5	29	50
SSCeC-10	96	16	48	36
SSCeC-2	66	3	21	32
SSCeC-3	58	2	13	37
SSCeC-4	63	5	20	34
SSCeC-5	32	1	7	21
SSCeC-7	51	5	24	22
SSCeC-8	34	0	9	22
SSCeC-9	95	16	45	34
SXCeC1	77	19	39	25
SXCeC2	116	26	53	48
SXCeC3	93	35	51	28
SXCeC4	134	34	58	56
SXCeC5	98	21	54	30
SXCeC6	108	23	50	36
WFHCeC11L	115	24	52	49
WFHCeC12L	114	20	46	49
WFHCeC13L	130	11	53	59
WFHCeC14L	150	13	54	75
WFHCeC16L	168	41	86	63
WFHCeC1L	127	20	52	62
WFHCeC21L	127	9	45	58
WFHCeC22L	137	16	51	61
WFHCeC23L	112	14	41	54
WFHCeC24L	138	18	67	52
WFHCeC25L	134	15	55	59
WFHCeC2L	128	11	54	50
WFHCeC3L	88	4	29	41
WFHCeC4L	88	11	30	43
WFHCeC6L	118	12	38	59
WHYCeC1L	70	6	21	40
WHYCeC1R	150	13	48	81
WHYCeC2L	72	8	27	36
WHYCeC2R	115	10	33	66
WHYCeC3L	115	8	33	64
WHYCeC3R	107	7	33	61
WHYCeC4L	61	3	17	38
WHYCeC4R	97	5	24	63
WHYCeC5L	62	2	15	38
WHYCeC5R	64	4	21	29
WHYCeC6L	55	3	14	28
WHYCeC6R	84	9	25	50
WHYCeC7L	106	11	34	60
WHYCeC7R	93	9	30	54
WHYCoC1	41	1	6	27
WHYCoC3	98	11	36	41
WHYCoC6	21	2	8	10
WHYCoC7	47	6	19	19
WNCeC1L	62	9	22	31
WNCeC2L	33	7	18	12
WNFCeC3L	30	7	14	12
WNFCeC4L	55	7	22	28
