genome	99%ANI	95%ANI
MAGs.SDCeC3.Bin15	15_2	15
MAGs.SDCeC5.Bin69	15_2	15
MAGs.SDCeC6.Bin44	15_2	15
MAGs.SXCeC2.Bin86	15_2	15
MAGs.SXCeC4.Bin99	15_2	15
MAGs.WFHCeC24L.Bin14	15_3	15
MAGs.WFHCeC2L.Bin30	15_3	15
MAGs.CeC161.Bin30	15_4	15
MAGs.CeC164.Bin41	15_4	15
MAGs.CeC61.Bin4	15_4	15
MAGs.CeC67.Bin28	15_4	15
MAGs.CeC68.Bin13	15_4	15
MAGs.JSCeC1.Bin10	15_5	15
MAGs.JSCeC2.Bin94	15_5	15
MAGs.JSCeC3.Bin102	15_5	15
MAGs.JSCeC4.Bin26	15_5	15
MAGs.JSCeC5.Bin71	15_5	15
MAGs.JSCeC6.Bin68	15_5	15
MAGs.SSCeC-7.Bin6	15_5	15
MAGs.SSCeC-9.Bin5	15_5	15
MAGs.SXCeC1.Bin4	15_5	15
MAGs.SXCeC3.Bin77	15_5	15
MAGs.SXCeC5.Bin98	15_5	15
MAGs.SXCeC6.Bin24	15_5	15
MAGs.FJCeC1.Bin64	15_6	15
MAGs.FJCeC5.Bin122	15_7	15
MAGs.WFHCeC16L.Bin51	15_8	15
MAGs.HEBCeC-7.Bin18	15_9	15
MAGs.HBCeC4.Bin67	16_1	16
MAGs.JSCeC2.Bin121	16_1	16
MAGs.JSCeC3.Bin120	16_1	16
MAGs.JSCeC4.Bin56	16_1	16
MAGs.JSCeC6.Bin87	16_1	16
MAGs.SDCeC2.Bin38	16_1	16
MAGs.SXCeC2.Bin99	16_1	16
MAGs.ANCeC1.Bin58	17_1	17
MAGs.ANCeC6.Bin69	17_1	17
MAGs.ANCeC7.Bin48	17_1	17
MAGs.HEBCeC-17.Bin82	18_1	18
MAGs.WHYCeC6R.Bin70	18_1	18
MAGs.WHYCeC7R.Bin41	18_1	18
MAGs.WHYCoC7.Bin13	18_1	18
MAGs.FJCeC2.Bin107	19_1	19
MAGs.SDQCeC1R.Bin46	19_1	19
MAGs.SDQCeC4R.Bin70	19_1	19
MAGs.SSCeC-4.Bin10	19_1	19
MAGs.WFHCeC23L.Bin18	19_1	19
MAGs.WFHCeC3L.Bin18	19_1	19
MAGs.WFHCeC4L.Bin14	19_1	19
MAGs.WFHCeC6L.Bin30	19_1	19
MAGs.WHYCeC1R.Bin62	19_1	19
MAGs.WHYCeC7R.Bin3	19_1	19
MAGs.WFHCeC21L.Bin59	19_2	19
MAGs.WHYCeC5R.Bin54	19_3	19
MAGs.HEBCeC-7.Bin51	19_4	19
MAGs.HBCeC1.Bin8	20_1	20
MAGs.HBCeC2.Bin46	20_1	20
MAGs.HBCeC3.Bin43	20_1	20
MAGs.SDCeC5.Bin7	20_1	20
MAGs.CeC1.Bin24	21_1	21
MAGs.CeC161.Bin33	21_1	21
MAGs.CeC164.Bin39	21_1	21
MAGs.CeC67.Bin44	21_1	21
MAGs.JSCeC2.Bin77	22_1	22
MAGs.SDCeC2.Bin44	22_1	22
MAGs.SXCeC2.Bin65	22_1	22
MAGs.ANCeC3.Bin37	22_2	22
MAGs.ANCeC6.Bin20	22_2	22
MAGs.JSCeC4.Bin101	23_1	23
MAGs.SXCeC3.Bin88	23_1	23
MAGs.SSCeC-1.Bin17	23_2	23
MAGs.WFHCeC13L.Bin110	23_3	23
MAGs.WFHCeC24L.Bin3	23_4	23
MAGs.JSCeC1.Bin30	23_5	23
MAGs.JSCeC2.Bin88	23_5	23
MAGs.JSCeC5.Bin11	23_5	23
MAGs.SDCeC4.Bin39	23_5	23
MAGs.JSCeC3.Bin39	23_6	23
MAGs.JSCeC6.Bin6	23_6	23
MAGs.SXCeC1.Bin30	23_6	23
MAGs.SXCeC4.Bin63	23_6	23
MAGs.CeC38.Bin16	23_7	23
MAGs.GZCeC-10.Bin38	23_8	23
MAGs.ANCeC7.Bin86	23_9	23
MAGs.FJCeC1.Bin85	24_1	24
MAGs.FJCeC3.Bin28	24_1	24
MAGs.WFHCeC21L.Bin110	24_1	24
MAGs.WFHCeC24L.Bin30	24_2	24
MAGs.WNFCeC4L.Bin29	25_0	25
MAGs.ANCeC4.Bin36	26_1	26
MAGs.SHCeC18.Bin55	26_1	26
MAGs.SHCeC24.Bin26	26_1	26
MAGs.JSCeC2.Bin72	27_1	27
MAGs.JSCeC3.Bin125	27_1	27
MAGs.JSCeC4.Bin27	27_1	27
MAGs.JSCeC5.Bin101	27_1	27
MAGs.JSCeC6.Bin1	27_1	27
MAGs.CeC51.Bin3	27_2	27
MAGs.WNFCeC4L.Bin54	27_3	27
MAGs.FJCeC2.Bin136	27_4	27
MAGs.HEBCeC-21.Bin64	27_5	27
MAGs.HEBCeC-7.Bin31	28_0	28
MAGs.WHYCeC1R.Bin84	29_0	29
MAGs.FJCeC2.Bin129	30_1	30
MAGs.HEBCeC-18.Bin46	30_1	30
MAGs.WFHCeC14L.Bin116	30_1	30
MAGs.WFHCeC24L.Bin21	30_1	30
MAGs.ANCeC7.Bin93	31_1	31
MAGs.SHCeC26.Bin55	31_1	31
MAGs.MD3d_CeC_2.Bin3	32_1	32
MAGs.MD3d_CeC_3.Bin3	32_1	32
MAGs.MD3d_CeC_5.Bin2	32_1	32
MAGs.MD3d_CeC_6.Bin6	32_1	32
MAGs.MD3d_CeC_7.Bin5	32_1	32
MAGs.MD7d_CeC_1.Bin3	32_1	32
MAGs.MD7d_CeC_2.Bin2	32_1	32
MAGs.MD7d_CeC_3.Bin9	32_1	32
MAGs.MD7d_CeC_4.Bin6	32_1	32
MAGs.MD7d_CeC_5.Bin5	32_1	32
MAGs.MD7d_CeC_6.Bin16	32_1	32
MAGs.MD7d_CeC_7.Bin3	32_1	32
MAGs.MD7d_CeC_8.Bin12	32_1	32
MAGs.PD7d_CeC_1.Bin9	32_1	32
MAGs.PD7d_CeC_2.Bin2	32_1	32
MAGs.PD7d_CeC_3.Bin1	32_1	32
MAGs.PD7d_CeC_4.Bin8	32_1	32
MAGs.PD7d_CeC_5.Bin8	32_1	32
MAGs.PD7d_CeC_6.Bin27	32_1	32
MAGs.PD7d_CeC_7.Bin9	32_1	32
MAGs.PD7d_CeC_8.Bin25	32_1	32
MAGs.MD3d_CeC_1.Bin6	33_1	33
MAGs.MD3d_CeC_5.Bin4	33_1	33
MAGs.MD3d_CeC_4.Bin1	33_2	33
MAGs.MD7d_CeC_3.Bin8	34_1	34
MAGs.MD7d_CeC_4.Bin7	34_1	34
MAGs.MD7d_CeC_6.Bin7	34_1	34
MAGs.MD7d_CeC_8.Bin5	34_1	34
MAGs.PD7d_CeC_2.Bin15	34_1	34
MAGs.PD7d_CeC_4.Bin10	34_1	34
MAGs.PD7d_CeC_5.Bin16	34_1	34
MAGs.PD7d_CeC_6.Bin22	34_1	34
MAGs.PD7d_CeC_7.Bin1	34_1	34
MAGs.PD7d_CeC_8.Bin14	34_1	34
MAGs.MD3d_CeC_1.Bin2	35_1	35
MAGs.MD3d_CeC_2.Bin2	35_1	35
MAGs.MD3d_CeC_3.Bin1	35_1	35
MAGs.MD3d_CeC_4.Bin4	35_1	35
MAGs.MD3d_CeC_5.Bin5	35_1	35
MAGs.MD3d_CeC_6.Bin5	35_1	35
MAGs.SDQILC2.Bin9	35_2	35
MAGs.WHYCoC7.Bin31	35_3	35
MAGs.WNFCeC2L.Bin1	35_3	35
MAGs.PD3d_CeC_7.Bin1	35_4	35
MAGs.PD7d_CeC_3.Bin2	35_4	35
MAGs.PD7d_CeC_6.Bin31	35_4	35
MAGs.PD7d_CeC_7.Bin15	35_4	35
MAGs.SDCeC1.Bin40	35_5	35
MAGs.MD7d_CeC_1.Bin7	35_6	35
MAGs.HBCeC1.Bin27	36_1	36
MAGs.HBCeC2.Bin49	36_1	36
MAGs.HBCeC3.Bin47	36_1	36
MAGs.HBCeC4.Bin7	36_1	36
MAGs.HBCeC5.Bin30	36_1	36
MAGs.HBCeC6.Bin8	36_1	36
MAGs.MD42d_CeC1.Bin20	36_2	36
MAGs.MD42d_CeC2.Bin13	36_2	36
MAGs.MD42d_CeC3.Bin35	36_2	36
MAGs.MD42d_CeC5.Bin5	36_2	36
MAGs.MD42d_CeC6.Bin18	36_2	36
MAGs.MD42d_CeC7.Bin12	36_2	36
MAGs.MD42d_CeC8.Bin19	36_2	36
MAGs.MD70dCeC1.Bin9	36_2	36
MAGs.MD70dCeC4.Bin42	36_2	36
MAGs.MD70dCeC5.Bin11	36_2	36
MAGs.MD70dCoC3.Bin10	36_2	36
MAGs.MD70dCoC7.Bin1	36_2	36
MAGs.MD70d_CeC1.Bin40	36_2	36
MAGs.MD70d_CeC4.Bin38	36_2	36
MAGs.MD70d_CeC5.Bin70	36_2	36
MAGs.MD70d_CeC8.Bin2	36_2	36
MAGs.SDQCoC4.Bin9	37_0	37
MAGs.SDQILC4.Bin9	38_0	38
MAGs.FJCeC3.Bin76	39_1	39
MAGs.SDQCeC9L.Bin36	39_1	39
MAGs.WFHCeC24L.Bin5	39_1	39
MAGs.WFHCeC2L.Bin46	39_1	39
MAGs.SSCeC-1.Bin87	40_1	40
MAGs.SSCeC-2.Bin40	40_1	40
MAGs.SSCeC-4.Bin3	40_1	40
MAGs.SSCeC-5.Bin24	40_1	40
MAGs.WFHCeC24L.Bin39	40_2	40
MAGs.SHCeC16.Bin95	41_1	41
MAGs.SHCeC24.Bin82	41_1	41
MAGs.SHCeC27.Bin133	41_1	41
MAGs.SHCeC28.Bin93	41_1	41
MAGs.FJCeC3.Bin93	41_2	41
MAGs.FJCeC6.Bin71	41_2	41
MAGs.WFHCeC14L.Bin98	41_2	41
MAGs.WFHCeC22L.Bin69	41_2	41
MAGs.WFHCeC24L.Bin57	41_2	41
MAGs.WFHCeC25L.Bin37	41_2	41
MAGs.WFHCeC2L.Bin25	41_2	41
MAGs.FJCeC2.Bin110	41_3	41
MAGs.HNCeC6.Bin47	41_4	41
MAGs.WHYCeC3L.Bin110	42_0	42
MAGs.ANCeC4.Bin37	43_1	43
MAGs.ANCeC7.Bin141	43_1	43
MAGs.FJCeC4.Bin35	43_1	43
MAGs.HNCeC11.Bin82	43_1	43
MAGs.SHCeC24.Bin158	43_1	43
MAGs.SSCeC-6.Bin1	43_1	43
MAGs.WFHCeC12L.Bin74	43_1	43
MAGs.WFHCeC13L.Bin115	43_1	43
MAGs.WHYCeC3R.Bin41	43_1	43
MAGs.WHYCeC5L.Bin50	43_1	43
MAGs.WHYCeC5R.Bin30	43_1	43
MAGs.WHYCeC7L.Bin83	43_1	43
MAGs.FJCeC1.Bin7	44_1	44
MAGs.FJCeC3.Bin129	44_1	44
MAGs.FJCeC5.Bin70	44_1	44
MAGs.HNCeC10.Bin77	44_1	44
MAGs.SDQCeC9L.Bin56	44_1	44
MAGs.SDQCeC9R.Bin24	44_1	44
MAGs.SSCeC-10.Bin5	44_1	44
MAGs.SSCeC-7.Bin45	44_1	44
MAGs.SSCeC-9.Bin14	44_1	44
MAGs.WFHCeC11L.Bin8	44_1	44
MAGs.WFHCeC14L.Bin55	44_1	44
MAGs.WFHCeC16L.Bin22	44_1	44
MAGs.WFHCeC24L.Bin88	44_1	44
MAGs.WFHCeC25L.Bin36	44_1	44
MAGs.WNCeC2L.Bin19	44_1	44
MAGs.FJCeC1.Bin115	45_1	45
MAGs.FJCeC3.Bin63	45_1	45
MAGs.FJCeC4.Bin27	45_1	45
MAGs.SDQCeC2L.Bin41	45_2	45
MAGs.SDQCeC4L.Bin77	45_2	45
MAGs.SDQCeC4R.Bin62	45_2	45
MAGs.SDQCeC8L.Bin4	45_2	45
MAGs.SDQCeC8R.Bin47	45_2	45
MAGs.WHYCeC1R.Bin134	45_2	45
MAGs.WHYCeC3R.Bin74	45_2	45
MAGs.WHYCeC5L.Bin61	45_2	45
MAGs.WHYCeC5R.Bin60	45_2	45
MAGs.WHYCeC7L.Bin97	45_2	45
MAGs.SSCeC-9.Bin90	45_3	45
MAGs.SSCeC-10.Bin89	45_4	45
MAGs.FJCeC2.Bin111	45_5	45
MAGs.HNCeC6.Bin12	45_6	45
MAGs.WFHCeC11L.Bin17	45_7	45
MAGs.WNCeC2L.Bin13	45_8	45
MAGs.JSCeC1.Bin65	46_1	46
MAGs.JSCeC2.Bin62	46_1	46
MAGs.JSCeC3.Bin98	46_1	46
MAGs.JSCeC4.Bin71	46_1	46
MAGs.JSCeC5.Bin56	46_1	46
MAGs.SDCeC1.Bin23	46_1	46
MAGs.SDCeC2.Bin40	46_1	46
MAGs.SDCeC3.Bin35	46_1	46
MAGs.SDCeC5.Bin16	46_1	46
MAGs.SDCeC6.Bin37	46_1	46
MAGs.SXCeC3.Bin33	46_1	46
MAGs.SXCeC4.Bin48	46_1	46
MAGs.SXCeC6.Bin88	46_1	46
MAGs.FJCeC2.Bin55	46_2	46
MAGs.WFHCeC13L.Bin120	46_3	46
MAGs.HNCeC5.Bin64	46_4	46
MAGs.WFHCeC22L.Bin32	46_5	46
MAGs.WNCeC1L.Bin10	46_6	46
MAGs.CeC192.Bin119	46_7	46
MAGs.FJCeC3.Bin33	47_1	47
MAGs.SSCeC-9.Bin10	47_2	47
MAGs.SSCeC-10.Bin96	48_1	48
MAGs.SSCeC-7.Bin15	48_1	48
MAGs.SSCeC-9.Bin75	48_1	48
MAGs.SDQCeC4L.Bin107	48_2	48
MAGs.HEBCeC-25.Bin68	48_3	48
MAGs.FJCeC3.Bin90	48_4	48
MAGs.GZCeC-10.Bin11	49_1	49
MAGs.WHYCeC3R.Bin89	49_2	49
MAGs.FJCeC2.Bin96	50_1	50
MAGs.GZCeC-26.Bin40	50_2	50
MAGs.SDQCeC4L.Bin24	50_3	50
MAGs.SDQCeC4R.Bin29	50_3	50
MAGs.WHYCeC1L.Bin70	50_4	50
MAGs.WHYCoC1.Bin27	50_4	50
MAGs.WFHCeC22L.Bin33	50_5	50
MAGs.WFHCeC24L.Bin90	50_6	50
MAGs.WFHCeC25L.Bin80	50_7	50
MAGs.WFHCeC4L.Bin10	50_8	50
MAGs.JSCeC2.Bin135	50_9	50
MAGs.JSCeC3.Bin148	50_9	50
MAGs.JSCeC4.Bin35	50_9	50
MAGs.JSCeC6.Bin70	50_9	50
MAGs.HNCeC11.Bin43	50_10	50
MAGs.HNCeC12.Bin57	50_10	50
MAGs.SDQCeC9R.Bin82	50_11	50
MAGs.WFHCeC3L.Bin51	50_12	50
MAGs.HNCeC18.Bin91	50_13	50
MAGs.SDQCeC1L.Bin95	50_14	50
MAGs.WFHCeC6L.Bin109	50_15	50
MAGs.HNCeC10.Bin115	50_16	50
MAGs.HEBCeC-18.Bin54	50_17	50
MAGs.FJCeC6.Bin41	50_18	50
MAGs.FJCeC4.Bin36	51_1	51
MAGs.HNCeC12.Bin9	51_1	51
MAGs.HNCeC13.Bin53	51_1	51
MAGs.HNCeC14.Bin47	51_1	51
MAGs.HNCeC4.Bin71	51_1	51
MAGs.HNCeC5.Bin15	51_1	51
MAGs.HNCeC6.Bin91	51_1	51
MAGs.WFHCeC11L.Bin50	51_1	51
MAGs.WFHCeC12L.Bin100	51_1	51
MAGs.WFHCeC16L.Bin23	51_1	51
MAGs.WFHCeC3L.Bin17	51_1	51
MAGs.WFHCeC4L.Bin85	51_1	51
MAGs.WFHCeC6L.Bin112	51_1	51
MAGs.WHYCeC1L.Bin23	51_1	51
MAGs.WHYCeC1R.Bin75	51_1	51
MAGs.WHYCeC2L.Bin16	51_1	51
MAGs.WHYCeC2R.Bin62	51_1	51
MAGs.WHYCeC3L.Bin31	51_1	51
MAGs.WHYCeC4L.Bin28	51_1	51
MAGs.WHYCeC5L.Bin7	51_1	51
MAGs.WHYCeC5R.Bin14	51_1	51
MAGs.WHYCeC6L.Bin15	51_1	51
MAGs.WHYCoC1.Bin9	51_1	51
MAGs.WHYCoC3.Bin40	51_1	51
MAGs.HNCeC12.Bin38	52_1	52
MAGs.HNCeC14.Bin18	52_1	52
MAGs.WHYCeC1L.Bin58	52_2	52
MAGs.WHYCeC1R.Bin21	52_2	52
MAGs.WHYCeC3L.Bin56	52_2	52
MAGs.WHYCeC3R.Bin69	52_2	52
MAGs.WHYCoC1.Bin22	52_2	52
MAGs.FJCeC4.Bin95	52_3	52
MAGs.WFHCeC3L.Bin83	52_3	52
MAGs.WFHCeC4L.Bin74	52_3	52
MAGs.SHCeC16.Bin42	53_1	53
MAGs.WNFCeC4L.Bin17	53_1	53
MAGs.HNCeC6.Bin26	54_0	54
MAGs.ANCeC2.Bin32	55_1	55
MAGs.ANCeC3.Bin75	55_1	55
MAGs.ANCeC5.Bin63	55_1	55
MAGs.ANCeC6.Bin17	55_1	55
MAGs.ANCeC7.Bin128	55_1	55
MAGs.SHCeC27.Bin7	55_1	55
MAGs.HBCeC6.Bin60	56_1	56
MAGs.SDCeC2.Bin63	56_1	56
MAGs.SXCeC2.Bin62	56_1	56
MAGs.SXCeC5.Bin61	56_1	56
MAGs.SXCeC6.Bin7	56_1	56
MAGs.HNCeC16.Bin82	56_2	56
MAGs.WHYCeC3L.Bin84	56_3	56
MAGs.FJCeC4.Bin96	56_4	56
MAGs.FJCeC6.Bin50	56_5	56
MAGs.JSCeC5.Bin18	57_1	57
MAGs.SDCeC3.Bin23	57_1	57
MAGs.SDCeC5.Bin21	57_1	57
MAGs.SXCeC1.Bin34	57_1	57
MAGs.SXCeC2.Bin42	57_1	57
MAGs.SXCeC3.Bin54	57_1	57
MAGs.ANCeC3.Bin92	58_1	58
MAGs.SHCeC16.Bin36	58_2	58
MAGs.FJCeC2.Bin139	58_3	58
MAGs.SSCeC-4.Bin26	58_3	58
MAGs.WFHCeC16L.Bin80	58_4	58
MAGs.FJCeC5.Bin95	58_5	58
MAGs.WHYCeC4L.Bin3	58_6	58
MAGs.CeC192.Bin59	58_7	58
MAGs.HEBCeC-30.Bin34	58_8	58
MAGs.ANCeC1.Bin29	58_9	58
MAGs.HBCeC5.Bin50	58_10	58
MAGs.SDQCeC1R.Bin117	59_0	59
MAGs.FJCeC5.Bin90	60_1	60
MAGs.WFHCeC24L.Bin100	60_1	60
MAGs.FJCeC1.Bin19	60_2	60
MAGs.WFHCeC25L.Bin106	60_3	60
MAGs.HNCeC11.Bin53	60_4	60
MAGs.HNCeC15.Bin70	60_5	60
MAGs.WHYCoC3.Bin69	60_6	60
MAGs.WNFCeC4L.Bin50	60_7	60
MAGs.GZCeC-26.Bin26	60_8	60
MAGs.WFHCeC22L.Bin94	60_9	60
MAGs.FJCeC3.Bin17	60_10	60
MAGs.WFHCeC2L.Bin19	61_0	61
MAGs.HNCeC5.Bin47	62_0	62
MAGs.ANCeC6.Bin45	63_1	63
MAGs.ANCeC7.Bin98	63_1	63
MAGs.WFHCeC2L.Bin113	64_0	64
MAGs.HEBCeC-21.Bin25	65_1	65
MAGs.SDCeC6.Bin58	65_2	65
MAGs.CeC186.Bin3	65_3	65
MAGs.HEBCeC-18.Bin9	66_1	66
MAGs.HEBCeC-25.Bin74	66_1	66
MAGs.ANCeC1.Bin10	66_2	66
MAGs.ANCeC2.Bin86	66_2	66
MAGs.ANCeC3.Bin57	66_2	66
MAGs.ANCeC4.Bin19	66_2	66
MAGs.ANCeC5.Bin61	66_2	66
MAGs.ANCeC6.Bin96	66_2	66
MAGs.ANCeC7.Bin120	66_2	66
MAGs.SHCeC1.Bin9	66_2	66
MAGs.SHCeC12.Bin86	66_2	66
MAGs.SHCeC15.Bin26	66_2	66
MAGs.SHCeC16.Bin111	66_2	66
MAGs.SHCeC17.Bin62	66_2	66
MAGs.SHCeC18.Bin58	66_2	66
MAGs.SHCeC24.Bin43	66_2	66
MAGs.SHCeC26.Bin93	66_2	66
MAGs.SHCeC27.Bin57	66_2	66
MAGs.SHCeC28.Bin73	66_2	66
MAGs.SHCeC4.Bin36	66_2	66
MAGs.SHCeC7.Bin31	66_2	66
MAGs.SSCeC-10.Bin62	66_3	66
MAGs.SSCeC-9.Bin24	66_3	66
MAGs.SSCeC-1.Bin18	66_4	66
MAGs.WFHCeC16L.Bin104	66_4	66
MAGs.WFHCeC14L.Bin104	66_5	66
MAGs.WFHCeC24L.Bin65	66_5	66
MAGs.FJCeC2.Bin48	66_6	66
MAGs.ANCeC2.Bin35	67_1	67
MAGs.ANCeC3.Bin32	67_1	67
MAGs.ANCeC5.Bin10	67_1	67
MAGs.ANCeC6.Bin84	67_1	67
MAGs.ANCeC7.Bin10	67_1	67
MAGs.FJCeC1.Bin105	67_1	67
MAGs.HNCeC10.Bin33	67_1	67
MAGs.SHCeC1.Bin49	67_1	67
MAGs.SHCeC12.Bin44	67_1	67
MAGs.SHCeC17.Bin100	67_1	67
MAGs.SHCeC26.Bin102	67_1	67
MAGs.SHCeC27.Bin4	67_1	67
MAGs.SHCeC28.Bin55	67_1	67
MAGs.SHCeC4.Bin51	67_1	67
MAGs.SHCeC7.Bin72	67_1	67
MAGs.SSCeC-10.Bin12	67_1	67
MAGs.SSCeC-7.Bin9	67_1	67
MAGs.SSCeC-9.Bin7	67_1	67
MAGs.WFHCeC16L.Bin60	67_1	67
MAGs.WFHCeC2L.Bin127	67_1	67
MAGs.MD70dCeC1.Bin5	68_1	68
MAGs.MD70dCeC2.Bin11	68_1	68
MAGs.MD70dCeC3.Bin9	68_1	68
MAGs.MD70dCeC4.Bin6	68_1	68
MAGs.MD70dCeC5.Bin55	68_1	68
MAGs.MD70dCeC6.Bin21	68_1	68
MAGs.MD70d_CeC1.Bin6	68_1	68
MAGs.MD70d_CeC2.Bin22	68_1	68
MAGs.MD70d_CeC3.Bin7	68_1	68
MAGs.MD70d_CeC4.Bin47	68_1	68
MAGs.MD70d_CeC5.Bin46	68_1	68
MAGs.MD70d_CeC6.Bin14	68_1	68
MAGs.MD70d_CeC7.Bin23	68_1	68
MAGs.MD70d_CeC8.Bin12	68_1	68
MAGs.PD70dCeC2.Bin15	68_1	68
MAGs.PD70dCeC3.Bin82	68_1	68
MAGs.PD70dCeC4.Bin72	68_1	68
MAGs.PD70dCeC5.Bin8	68_1	68
MAGs.PD70dCeC6.Bin61	68_1	68
MAGs.PD70d_CeC2.Bin40	68_1	68
MAGs.PD70d_CeC3.Bin12	68_1	68
MAGs.PD70d_CeC4.Bin58	68_1	68
MAGs.PD70d_CeC6.Bin4	68_1	68
MAGs.PD70d_CeC7.Bin22	68_1	68
MAGs.PD70d_CeC8.Bin13	68_1	68
MAGs.SSCeC-10.Bin87	69_1	69
MAGs.SSCeC-9.Bin73	69_1	69
MAGs.WFHCeC1L.Bin25	69_1	69
MAGs.WFHCeC3L.Bin6	70_0	70
MAGs.SDQCeC4L.Bin124	71_1	71
MAGs.SDQCeC4R.Bin72	71_1	71
MAGs.WFHCeC24L.Bin131	71_1	71
MAGs.WFHCeC2L.Bin90	71_1	71
MAGs.FJCeC5.Bin31	72_1	72
MAGs.HEBCeC-18.Bin59	72_1	72
MAGs.SSCeC-9.Bin52	72_1	72
MAGs.WFHCeC2L.Bin12	72_1	72
MAGs.ANCeC1.Bin31	73_1	73
MAGs.ANCeC2.Bin10	73_1	73
MAGs.ANCeC4.Bin79	73_1	73
MAGs.ANCeC5.Bin4	73_1	73
MAGs.ANCeC6.Bin119	73_1	73
MAGs.ANCeC7.Bin118	73_1	73
MAGs.FJCeC2.Bin113	73_1	73
MAGs.SHCeC1.Bin81	73_1	73
MAGs.SHCeC12.Bin92	73_1	73
MAGs.SHCeC15.Bin54	73_1	73
MAGs.SHCeC16.Bin37	73_1	73
MAGs.SHCeC24.Bin23	73_1	73
MAGs.SHCeC26.Bin98	73_1	73
MAGs.SHCeC27.Bin30	73_1	73
MAGs.SHCeC28.Bin24	73_1	73
MAGs.SHCeC4.Bin47	73_1	73
MAGs.SHCeC7.Bin29	73_1	73
MAGs.WFHCeC16L.Bin34	73_1	73
MAGs.WFHCeC16L.Bin149	74_1	74
MAGs.WFHCeC2L.Bin124	74_1	74
MAGs.HNCeC6.Bin35	74_2	74
MAGs.HNCeC11.Bin36	75_1	75
MAGs.HNCeC14.Bin38	75_1	75
MAGs.HNCeC15.Bin39	75_2	75
MAGs.HNCeC7.Bin25	75_2	75
MAGs.HNCeC6.Bin77	75_3	75
MAGs.SDQCeC1R.Bin101	75_3	75
MAGs.SDQCeC3L.Bin73	75_3	75
MAGs.SDQCeC4L.Bin60	75_3	75
MAGs.SDQCeC4R.Bin15	75_3	75
MAGs.SDQCeC9R.Bin73	75_3	75
MAGs.SSCeC-1.Bin21	75_3	75
MAGs.SSCeC-9.Bin93	75_3	75
MAGs.WFHCeC14L.Bin81	75_3	75
MAGs.WFHCeC22L.Bin121	75_3	75
MAGs.WFHCeC25L.Bin46	75_3	75
MAGs.WFHCeC2L.Bin105	75_3	75
MAGs.WFHCeC6L.Bin90	75_3	75
