id	genes	cazyfamily	phylum
ANCeC4.Bin84	40	26	Firmicutes
ANCeC4.Bin85	61	36	Firmicutes
ANCeC4.Bin87	30	18	Firmicutes
ANCeC4.Bin91	132	54	Firmicutes
ANCeC4.Bin94	70	44	Firmicutes
ANCeC4.Bin96	40	15	Desulfobacterota
ANCeC5.Bin1	56	30	Elusimicrobiota
ANCeC5.Bin11	109	49	Bacteroidota
ANCeC5.Bin16	30	17	Proteobacteria
ANCeC5.Bin20	40	29	Firmicutes
ANCeC5.Bin22	110	49	Firmicutes
ANCeC5.Bin24	121	49	Firmicutes
ANCeC5.Bin25	205	85	Bacteroidota
ANCeC5.Bin3	27	19	Firmicutes
ANCeC5.Bin30	184	74	Bacteroidota
ANCeC5.Bin32	149	51	Firmicutes
ANCeC5.Bin34	76	56	Bacteroidota
ANCeC5.Bin45	167	67	Bacteroidota
ANCeC5.Bin50	164	57	Firmicutes
ANCeC5.Bin52	51	29	Firmicutes
ANCeC5.Bin54	58	27	Desulfobacterota
ANCeC5.Bin55	82	49	Firmicutes
ANCeC5.Bin56	42	30	Bacteroidota
ANCeC5.Bin6	92	43	Spirochaetota
ANCeC5.Bin60	23	16	Synergistota
ANCeC5.Bin64	60	29	Firmicutes
ANCeC5.Bin67	225	88	Bacteroidota
ANCeC5.Bin68	155	52	Firmicutes
ANCeC5.Bin69	111	50	Firmicutes
ANCeC5.Bin71	21	15	Firmicutes
ANCeC5.Bin73	113	49	Bacteroidota
ANCeC5.Bin74	60	26	Desulfobacterota
ANCeC6.Bin102	25	15	Firmicutes
ANCeC6.Bin103	62	33	Firmicutes
ANCeC6.Bin104	121	54	Bacteroidota
ANCeC6.Bin111	83	45	Firmicutes
ANCeC6.Bin114	52	29	Elusimicrobiota
ANCeC6.Bin116	36	19	Firmicutes
ANCeC6.Bin118	51	33	Firmicutes
ANCeC6.Bin124	24	15	Proteobacteria
ANCeC6.Bin126	126	43	Firmicutes
ANCeC6.Bin127	80	44	Firmicutes
ANCeC6.Bin13	32	14	Firmicutes
ANCeC6.Bin131	70	36	Firmicutes
ANCeC6.Bin134	139	62	Bacteroidota
ANCeC6.Bin138	40	25	Cyanobacteria
ANCeC6.Bin140	72	43	Firmicutes
ANCeC6.Bin17	136	69	Bacteroidota
ANCeC6.Bin19	16	10	Firmicutes
ANCeC6.Bin2	122	55	Firmicutes
ANCeC6.Bin20	29	18	Proteobacteria
ANCeC6.Bin23	74	39	Firmicutes
ANCeC6.Bin26	50	27	Firmicutes
ANCeC6.Bin27	185	69	Bacteroidota
ANCeC6.Bin28	49	33	Firmicutes
ANCeC6.Bin32	43	18	Firmicutes
ANCeC6.Bin39	26	12	Actinobacteriota
ANCeC6.Bin41	85	45	Bacteroidota
ANCeC6.Bin42	43	24	Elusimicrobiota
ANCeC6.Bin43	72	28	Desulfobacterota
ANCeC6.Bin44	132	60	Bacteroidota
ANCeC6.Bin45	138	66	Bacteroidota
ANCeC6.Bin46	21	13	Firmicutes
ANCeC6.Bin50	171	73	Bacteroidota
ANCeC6.Bin55	150	56	Firmicutes
ANCeC6.Bin58	41	27	Firmicutes
ANCeC6.Bin59	29	22	Proteobacteria
ANCeC6.Bin63	51	24	Cyanobacteria
ANCeC6.Bin64	42	26	Cyanobacteria
ANCeC6.Bin69	77	37	Verrucomicrobiota
ANCeC6.Bin71	141	54	Firmicutes
ANCeC6.Bin72	37	25	Campylobacterota
ANCeC6.Bin75	97	43	Firmicutes
ANCeC6.Bin76	73	43	Firmicutes
ANCeC6.Bin79	129	53	Firmicutes
ANCeC6.Bin81	27	15	Firmicutes
ANCeC6.Bin82	42	25	Firmicutes
ANCeC6.Bin83	42	24	Firmicutes
ANCeC6.Bin87	82	35	Firmicutes
ANCeC6.Bin88	48	24	Firmicutes
ANCeC6.Bin89	17	10	Proteobacteria
ANCeC6.Bin9	166	65	Bacteroidota
ANCeC6.Bin91	55	27	Deferribacterota
ANCeC6.Bin94	62	34	Bacteroidota
ANCeC6.Bin95	43	24	Firmicutes
ANCeC7.Bin102	154	61	Firmicutes
ANCeC7.Bin105	13	9	Firmicutes
ANCeC7.Bin106	178	55	Firmicutes
ANCeC7.Bin11	46	26	Desulfobacterota
ANCeC7.Bin111	210	75	Verrucomicrobiota
ANCeC7.Bin113	7	7	Firmicutes
ANCeC7.Bin114	232	83	Bacteroidota
ANCeC7.Bin117	101	49	Firmicutes
ANCeC7.Bin118	67	38	Bacteroidota
ANCeC7.Bin121	95	42	Firmicutes
ANCeC7.Bin126	46	23	Firmicutes
ANCeC7.Bin130	196	69	Bacteroidota
ANCeC7.Bin131	67	35	Firmicutes
ANCeC7.Bin133	43	28	Firmicutes
ANCeC7.Bin137	86	31	Firmicutes
ANCeC7.Bin141	64	35	Spirochaetota
ANCeC7.Bin142	45	30	Firmicutes
ANCeC7.Bin143	249	96	Bacteroidota
ANCeC7.Bin144	149	58	Bacteroidota
ANCeC7.Bin146	72	42	Firmicutes
ANCeC7.Bin15	45	26	Firmicutes
ANCeC7.Bin17	94	40	Proteobacteria
ANCeC7.Bin18	46	25	Elusimicrobiota
ANCeC7.Bin19	77	34	Firmicutes
ANCeC7.Bin23	85	37	Firmicutes
ANCeC7.Bin26	17	11	Firmicutes
ANCeC7.Bin27	72	36	Firmicutes
ANCeC7.Bin28	192	71	Bacteroidota
ANCeC7.Bin29	81	30	Firmicutes
ANCeC7.Bin30	54	36	Firmicutes
ANCeC7.Bin34	49	26	Cyanobacteria
ANCeC7.Bin35	66	38	Bacteroidota
ANCeC7.Bin42	95	44	Firmicutes
ANCeC7.Bin43	79	40	Firmicutes
ANCeC7.Bin44	70	41	Firmicutes
ANCeC7.Bin48	140	51	Verrucomicrobiota
ANCeC7.Bin5	158	56	Firmicutes
ANCeC7.Bin51	71	30	Cyanobacteria
ANCeC7.Bin53	56	34	Firmicutes
ANCeC7.Bin55	407	92	Verrucomicrobiota
ANCeC7.Bin57	193	73	Bacteroidota
ANCeC7.Bin64	25	17	Firmicutes
ANCeC7.Bin66	89	47	Firmicutes
ANCeC7.Bin68	174	67	Bacteroidota
ANCeC7.Bin7	129	59	Firmicutes
ANCeC7.Bin70	79	42	Bacteroidota
ANCeC7.Bin77	137	60	Bacteroidota
ANCeC7.Bin78	11	7	Firmicutes
ANCeC7.Bin79	40	24	Cyanobacteria
ANCeC7.Bin80	150	61	Firmicutes
ANCeC7.Bin82	66	36	Firmicutes
ANCeC7.Bin86	29	20	Proteobacteria
ANCeC7.Bin88	102	43	Firmicutes
ANCeC7.Bin9	155	56	Firmicutes
ANCeC7.Bin91	100	44	Firmicutes
ANCeC7.Bin92	45	28	Firmicutes
ANCeC7.Bin93	83	40	Verrucomicrobiota
ANCeC7.Bin94	18	13	Proteobacteria
ANCeC7.Bin95	176	56	Verrucomicrobiota
ANCeC7.Bin98	145	68	Bacteroidota
CeC105.Bin10	52	32	Firmicutes
CeC105.Bin11	52	28	Proteobacteria
CeC105.Bin15	22	14	Synergistota
CeC105.Bin16	19	13	Campylobacterota
CeC105.Bin2	223	88	Bacteroidota
CeC105.Bin23	75	42	Firmicutes
CeC105.Bin24	107	58	Firmicutes
CeC105.Bin29	25	16	Firmicutes
CeC105.Bin31	27	16	Desulfobacterota
CeC105.Bin33	55	35	Firmicutes
CeC105.Bin34	140	60	Bacteroidota
CeC105.Bin5	61	28	Cyanobacteria
CeC105.Bin6	61	36	Firmicutes
CeC105.Bin9	76	44	Firmicutes
CeC108.Bin1	48	34	Firmicutes
CeC108.Bin10	97	47	Firmicutes
CeC108.Bin11	49	25	Cyanobacteria
CeC108.Bin14	36	24	Firmicutes
CeC108.Bin17	84	38	Bacteroidota
CeC108.Bin2	70	41	Firmicutes
CeC108.Bin5	287	88	Bacteroidota
CeC108.Bin6	35	20	Campylobacterota
CeC108.Bin7	73	29	Cyanobacteria
CeC112.Bin1	22	18	Proteobacteria
CeC139.Bin1	55	29	Cyanobacteria
CeC139.Bin12	79	35	Bacteroidota
CeC139.Bin14	66	42	Firmicutes
CeC139.Bin16	66	37	Fusobacteriota
CeC139.Bin17	22	14	Campylobacterota
CeC139.Bin21	245	82	Bacteroidota
CeC139.Bin24	75	43	Bacteroidota
CeC149.Bin13	43	25	Elusimicrobiota
CeC149.Bin20	128	53	Firmicutes
CeC149.Bin22	34	21	Cyanobacteria
CeC149.Bin24	198	71	Bacteroidota
CeC149.Bin32	48	25	Bacteroidota
CeC149.Bin33	85	45	Firmicutes
CeC149.Bin36	86	45	Firmicutes
CeC149.Bin4	231	78	Bacteroidota
CeC149.Bin5	23	17	Desulfobacterota
CeC149.Bin7	228	85	Bacteroidota
CeC149.Bin8	65	35	Bacteroidota
CeC161.Bin1	53	25	Elusimicrobiota
CeC161.Bin11	41	27	Firmicutes
CeC161.Bin13	122	54	Bacteroidota
CeC161.Bin14	34	23	Elusimicrobiota
CeC161.Bin16	23	15	Firmicutes
CeC161.Bin20	62	36	Firmicutes
CeC161.Bin22	12	8	Halobacteriota
CeC161.Bin24	75	41	Bacteroidota
CeC161.Bin25	39	21	Spirochaetota
CeC161.Bin28	52	32	Firmicutes
CeC161.Bin29	78	39	Firmicutes
CeC161.Bin3	96	41	Firmicutes
CeC161.Bin33	21	14	Campylobacterota
CeC161.Bin5	31	20	Proteobacteria
CeC164.Bin12	109	48	Firmicutes
CeC164.Bin15	26	19	Synergistota
CeC164.Bin16	31	22	Spirochaetota
CeC164.Bin20	70	38	Bacteroidota
CeC164.Bin26	83	34	Firmicutes
CeC164.Bin29	37	22	Fusobacteriota
CeC164.Bin33	117	53	Bacteroidota
CeC164.Bin35	86	42	Verrucomicrobiota
CeC164.Bin39	28	18	Proteobacteria
CeC164.Bin9	249	81	Bacteroidota
CeC192.Bin10	71	39	Firmicutes
CeC192.Bin100	76	33	Firmicutes
CeC192.Bin101	113	62	Bacteroidota
CeC192.Bin106	31	17	Firmicutes
CeC192.Bin109	178	80	Bacteroidota
CeC192.Bin11	214	71	Bacteroidota
CeC192.Bin112	64	36	Firmicutes
CeC192.Bin113	54	35	Firmicutes
CeC192.Bin119	281	91	Bacteroidota
CeC192.Bin121	74	31	Firmicutes
CeC192.Bin122	140	69	Bacteroidota
CeC192.Bin126	162	67	Bacteroidota
CeC192.Bin128	79	36	Firmicutes
CeC192.Bin130	61	31	Firmicutes
CeC192.Bin131	58	28	Elusimicrobiota
CeC192.Bin18	156	73	Bacteroidota
CeC192.Bin21	44	23	Actinobacteriota
CeC192.Bin22	201	75	Bacteroidota
CeC192.Bin24	58	30	Firmicutes
CeC192.Bin25	42	21	Firmicutes
CeC192.Bin27	73	42	Proteobacteria
CeC192.Bin3	172	73	Bacteroidota
CeC192.Bin31	103	46	Firmicutes
CeC192.Bin41	59	28	Desulfobacterota
CeC192.Bin42	108	54	Firmicutes
CeC192.Bin44	79	38	Bacteroidota
CeC192.Bin5	60	30	Deferribacterota
CeC192.Bin50	186	74	Bacteroidota
CeC192.Bin56	86	33	Firmicutes
CeC192.Bin59	109	52	Bacteroidota
CeC192.Bin62	95	43	Firmicutes
CeC192.Bin64	50	27	Firmicutes
CeC192.Bin68	207	76	Bacteroidota
CeC192.Bin69	78	38	Firmicutes
CeC192.Bin70	190	71	Firmicutes
CeC192.Bin72	43	24	Desulfobacterota
CeC192.Bin73	90	48	Firmicutes
CeC192.Bin74	171	71	Bacteroidota
CeC192.Bin78	85	38	Firmicutes
CeC192.Bin81	18	10	Firmicutes
CeC192.Bin83	38	20	Firmicutes
CeC192.Bin85	53	29	Firmicutes
CeC192.Bin88	132	49	Firmicutes
CeC192.Bin90	45	26	Firmicutes
CeC192.Bin91	154	55	Firmicutes
CeC192.Bin95	43	27	Firmicutes
CeC200.Bin10	34	20	Synergistota
CeC200.Bin16	41	24	Firmicutes
CeC200.Bin18	149	59	Firmicutes
CeC200.Bin2	49	18	Desulfobacterota
CeC200.Bin24	176	56	Firmicutes
CeC200.Bin26	30	20	Deferribacterota
CeC200.Bin28	216	84	Bacteroidota
CeC200.Bin29	57	33	Firmicutes
CeC200.Bin30	76	49	Firmicutes
CeC200.Bin31	46	25	Desulfobacterota
CeC200.Bin34	92	42	Firmicutes
CeC200.Bin6	89	47	Bacteroidota
CeC200.Bin9	48	24	Campylobacterota
CeC38.Bin1	32	18	Firmicutes
CeC38.Bin13	203	74	Bacteroidota
CeC38.Bin16	35	21	Proteobacteria
CeC38.Bin17	41	21	Elusimicrobiota
CeC38.Bin2	32	16	Desulfobacterota
CeC38.Bin21	52	21	Desulfobacterota
CeC38.Bin23	103	42	Firmicutes
CeC38.Bin28	74	49	Firmicutes
CeC38.Bin30	110	55	Bacteroidota
CeC38.Bin32	65	31	Bacteroidota
CeC38.Bin34	57	35	Firmicutes
CeC6.Bin10	51	28	Elusimicrobiota
CeC6.Bin13	56	32	Firmicutes
CeC6.Bin2	86	48	Firmicutes
CeC6.Bin20	46	24	Actinobacteriota
CeC6.Bin22	126	60	Bacteroidota
CeC6.Bin26	24	15	Firmicutes
CeC6.Bin28	11	6	Halobacteriota
CeC6.Bin3	71	43	Firmicutes
CeC6.Bin30	73	33	Cyanobacteria
CeC6.Bin31	40	22	Campylobacterota
CeC6.Bin32	39	22	Elusimicrobiota
CeC6.Bin37	97	39	Firmicutes
CeC6.Bin39	54	30	Firmicutes
CeC6.Bin9	61	35	Firmicutes
CeC67.Bin12	58	35	Firmicutes
CeC67.Bin14	100	34	Firmicutes
CeC67.Bin20	29	20	Synergistota
CeC67.Bin23	80	35	Actinobacteriota
CeC67.Bin28	18	10	Halobacteriota
CeC67.Bin29	50	25	Desulfobacterota
CeC67.Bin35	35	17	Actinobacteriota
CeC67.Bin40	78	34	Firmicutes
CeC67.Bin45	44	27	Desulfobacterota
CeC67.Bin9	99	47	Bacteroidota
FJCeC1.Bin10	141	53	Firmicutes
FJCeC1.Bin100	9	6	Firmicutes
FJCeC1.Bin102	85	42	Firmicutes
FJCeC1.Bin103	66	28	Desulfobacterota
FJCeC1.Bin107	86	50	Firmicutes
FJCeC1.Bin110	195	67	Bacteroidota
FJCeC1.Bin115	51	29	Spirochaetota
FJCeC1.Bin116	61	40	Firmicutes
FJCeC1.Bin117	249	90	Bacteroidota
FJCeC1.Bin118	58	31	Firmicutes
FJCeC1.Bin119	148	61	Firmicutes
FJCeC1.Bin19	218	82	Bacteroidota
FJCeC1.Bin2	40	29	Firmicutes
FJCeC1.Bin20	51	31	Firmicutes
FJCeC1.Bin23	147	60	Firmicutes
FJCeC1.Bin31	38	25	Firmicutes
FJCeC1.Bin33	101	51	Spirochaetota
FJCeC1.Bin35	98	36	Firmicutes
FJCeC1.Bin38	183	63	Bacteroidota
FJCeC1.Bin40	59	39	Bacteroidota
FJCeC1.Bin41	96	42	Firmicutes
FJCeC1.Bin44	109	48	Firmicutes
FJCeC1.Bin45	15	10	Firmicutes
FJCeC1.Bin46	95	45	Bacteroidota
FJCeC1.Bin48	70	33	Firmicutes
FJCeC1.Bin49	81	43	Bacteroidota
FJCeC1.Bin50	62	32	Firmicutes
FJCeC1.Bin51	175	55	Firmicutes
FJCeC1.Bin52	107	53	Bacteroidota
FJCeC1.Bin54	40	25	Desulfobacterota
FJCeC1.Bin55	20	14	Firmicutes
FJCeC1.Bin57	10	7	Firmicutes
FJCeC1.Bin60	13	9	Firmicutes
FJCeC1.Bin61	52	25	Spirochaetota
FJCeC1.Bin62	129	55	Firmicutes
FJCeC1.Bin63	71	41	Firmicutes
FJCeC1.Bin64	13	7	Halobacteriota
FJCeC1.Bin66	57	35	Firmicutes
FJCeC1.Bin67	90	40	Firmicutes
FJCeC1.Bin69	55	33	Firmicutes
FJCeC1.Bin70	149	56	Firmicutes
FJCeC1.Bin71	231	79	Bacteroidota
FJCeC1.Bin72	94	37	Bacteroidota
FJCeC1.Bin73	184	79	Bacteroidota
FJCeC1.Bin78	139	61	Bacteroidota
FJCeC1.Bin80	198	76	Bacteroidota
FJCeC1.Bin81	135	59	Bacteroidota
FJCeC1.Bin84	45	24	Bacteroidota
FJCeC1.Bin85	29	19	Proteobacteria
FJCeC1.Bin87	160	76	Bacteroidota
FJCeC1.Bin88	76	30	Actinobacteriota
FJCeC1.Bin90	94	39	Firmicutes
FJCeC1.Bin96	237	85	Bacteroidota
FJCeC1.Bin99	116	52	Bacteroidota
FJCeC2.Bin106	56	33	Actinobacteriota
FJCeC2.Bin107	23	18	Proteobacteria
FJCeC2.Bin11	171	66	Bacteroidota
FJCeC2.Bin110	73	35	Spirochaetota
FJCeC2.Bin111	34	21	Spirochaetota
FJCeC2.Bin112	79	46	Bacteroidota
FJCeC2.Bin114	33	22	Firmicutes
FJCeC2.Bin119	38	27	Spirochaetota
FJCeC2.Bin12	130	64	Bacteroidota
FJCeC2.Bin121	44	25	Actinobacteriota
FJCeC2.Bin123	29	13	Firmicutes
FJCeC2.Bin125	52	27	Firmicutes
FJCeC2.Bin126	237	86	Bacteroidota
FJCeC2.Bin133	80	35	Firmicutes
FJCeC2.Bin136	95	45	Verrucomicrobiota
FJCeC2.Bin138	226	83	Bacteroidota
FJCeC2.Bin139	84	41	Bacteroidota
FJCeC2.Bin141	59	34	Firmicutes
FJCeC2.Bin16	83	39	Firmicutes
FJCeC2.Bin19	70	43	Bacteroidota
FJCeC2.Bin21	172	69	Bacteroidota
FJCeC2.Bin24	96	40	Spirochaetota
FJCeC2.Bin25	140	64	Bacteroidota
FJCeC2.Bin26	38	18	Firmicutes
FJCeC2.Bin28	132	60	Bacteroidota
FJCeC2.Bin32	77	40	Firmicutes
FJCeC2.Bin34	87	46	Bacteroidota
FJCeC2.Bin36	95	50	Bacteroidota
FJCeC2.Bin37	23	13	Patescibacteria
FJCeC2.Bin39	47	26	Bacteroidota
FJCeC2.Bin4	94	58	Firmicutes
FJCeC2.Bin42	72	25	Desulfobacterota
FJCeC2.Bin44	46	29	Firmicutes
FJCeC2.Bin45	74	34	Firmicutes
FJCeC2.Bin48	104	53	Bacteroidota
FJCeC2.Bin51	125	63	Firmicutes
FJCeC2.Bin52	68	26	Deferribacterota
FJCeC2.Bin53	76	47	Firmicutes
FJCeC2.Bin55	213	80	Bacteroidota
FJCeC2.Bin57	56	25	Deferribacterota
FJCeC2.Bin65	107	39	Firmicutes
FJCeC2.Bin67	126	55	Bacteroidota
FJCeC2.Bin70	64	33	Spirochaetota
FJCeC2.Bin71	87	41	Firmicutes
FJCeC2.Bin72	79	29	Firmicutes
FJCeC2.Bin78	53	30	Firmicutes
FJCeC2.Bin8	31	18	Firmicutes
FJCeC2.Bin84	52	23	Firmicutes
FJCeC2.Bin89	92	33	Bacteroidota
FJCeC2.Bin92	39	25	Desulfobacterota
FJCeC2.Bin95	77	43	Firmicutes
FJCeC2.Bin96	110	52	Bacteroidota
FJCeC3.Bin103	33	25	Firmicutes
FJCeC3.Bin104	126	48	Firmicutes
FJCeC3.Bin105	48	25	Bacteroidota
FJCeC3.Bin107	84	41	Bacteroidota
FJCeC3.Bin108	183	69	Bacteroidota
FJCeC3.Bin11	32	18	Firmicutes
FJCeC3.Bin110	63	34	Firmicutes
FJCeC3.Bin112	108	58	Bacteroidota
FJCeC3.Bin115	20	14	Firmicutes
FJCeC3.Bin117	28	18	Firmicutes
FJCeC3.Bin118	68	34	Firmicutes
FJCeC3.Bin12	60	28	Desulfobacterota
FJCeC3.Bin122	29	14	Firmicutes
FJCeC3.Bin125	131	48	Firmicutes
FJCeC3.Bin127	44	27	Firmicutes
FJCeC3.Bin13	114	51	Firmicutes
FJCeC3.Bin130	68	42	Firmicutes
FJCeC3.Bin17	209	76	Bacteroidota
FJCeC3.Bin18	110	38	Firmicutes
FJCeC3.Bin20	114	54	Firmicutes
FJCeC3.Bin24	214	78	Bacteroidota
FJCeC3.Bin26	18	15	Firmicutes
FJCeC3.Bin27	99	50	Bacteroidota
FJCeC3.Bin28	29	18	Proteobacteria
FJCeC3.Bin30	71	42	Firmicutes
FJCeC3.Bin31	66	29	Desulfobacterota
FJCeC3.Bin32	126	60	Bacteroidota
FJCeC3.Bin33	60	33	Spirochaetota
FJCeC3.Bin34	30	11	Methanobacteriota
FJCeC3.Bin36	27	16	Desulfobacterota
FJCeC3.Bin38	38	17	Firmicutes
FJCeC3.Bin4	118	52	Firmicutes
FJCeC3.Bin40	60	24	Actinobacteriota
FJCeC3.Bin43	64	33	Firmicutes
FJCeC3.Bin45	39	27	Firmicutes
FJCeC3.Bin49	140	71	Bacteroidota
FJCeC3.Bin50	153	57	Firmicutes
FJCeC3.Bin55	225	86	Bacteroidota
FJCeC3.Bin58	88	48	Bacteroidota
FJCeC3.Bin68	190	74	Bacteroidota
FJCeC3.Bin69	191	79	Bacteroidota
FJCeC3.Bin72	77	29	Bacteroidota
FJCeC3.Bin73	104	39	Spirochaetota
FJCeC3.Bin75	160	54	Firmicutes
FJCeC3.Bin76	88	45	Spirochaetota
FJCeC3.Bin78	51	21	Firmicutes
FJCeC3.Bin81	114	52	Bacteroidota
FJCeC3.Bin84	92	38	Firmicutes
FJCeC3.Bin87	68	38	Firmicutes
FJCeC3.Bin88	85	38	Actinobacteriota
FJCeC3.Bin89	41	26	Proteobacteria
FJCeC3.Bin90	48	29	Spirochaetota
FJCeC3.Bin93	63	30	Spirochaetota
FJCeC3.Bin94	55	21	Firmicutes
FJCeC3.Bin97	106	48	Bacteroidota
FJCeC4.Bin101	116	58	Firmicutes
FJCeC4.Bin102	59	29	Elusimicrobiota
FJCeC4.Bin103	24	16	Actinobacteriota
FJCeC4.Bin104	23	14	Firmicutes
FJCeC4.Bin106	89	46	Bacteroidota
FJCeC4.Bin108	36	24	Firmicutes
FJCeC4.Bin109	66	38	Bacteroidota
FJCeC4.Bin11	73	41	Bacteroidota
FJCeC4.Bin110	83	39	Bacteroidota
FJCeC4.Bin114	113	47	Firmicutes
FJCeC4.Bin13	164	64	Firmicutes
FJCeC4.Bin14	132	61	Bacteroidota
FJCeC4.Bin23	86	40	Proteobacteria
FJCeC4.Bin27	41	24	Spirochaetota
FJCeC4.Bin28	62	37	Firmicutes
FJCeC4.Bin29	62	37	Bacteroidota
FJCeC4.Bin3	81	42	Firmicutes
FJCeC4.Bin33	95	48	Firmicutes
FJCeC4.Bin36	171	71	Bacteroidota
FJCeC4.Bin39	129	49	Firmicutes
FJCeC4.Bin46	70	30	Firmicutes
FJCeC4.Bin5	91	35	Firmicutes
FJCeC4.Bin54	57	26	Deferribacterota
